#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast

お疲れさまでした。	です	ですが	です	past work gratitude	ました = past, ます = present	[sound:127e934e8fde.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
ありがとうございました。	ました	ます	ました	past polite thanks	ました = past, ます = present	[sound:882395686e31.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
申し訳ございません。	ません	ました	ません	formal apology present	ません = negative, ました = past	[sound:67c29b8929ed.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
ご苦労さまです。	です	ございます	です	to subordinate only	ご苦労 = down only, お疲れ = both	[sound:f6f723431c2e.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
よろしくお願いします。	します	申し上げます	します	casual request	します = casual, 申し上げます = formal	[sound:e4996b3caa33.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
よろしくお願い申し上げます。	申し上げます	します	申し上げます	formal request keigo	申し上げます = formal, します = casual	[sound:0df433791f3b.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
失礼いたします。	いたします	します	いたします	humble entry/exit formal	いたします = humble, します = plain	[sound:15ebb761d91c.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
失礼します。	します	いたします	します	plain entry/exit casual	します = plain, いたします = humble	[sound:f841442e1c8c.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
お世話になっております。	おります	います	おります	formal ongoing gratitude	おります = formal, います = plain	[sound:fbec766d4191.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
かしこまりました。	ました	ます	ました	formal past confirmation	ました = past, ます = present	[sound:916e88ee9bdf.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
いただけますでしょうか。	でしょうか	ですか	でしょうか	formal polite question	でしょうか = formal, ですか = plain	[sound:5fe30d9029e3.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
何かご不明な点はございませんか。	ございませんか	ありませんか	ございませんか	formal inquiry about	ございません = formal, ありません = plain	[sound:f3338a347d76.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
こちらこそ、ありがとうございました。	こちらこそ	こちらが	こちらこそ	reciprocal formal thanks	こちらこそ = reciprocal, こちらが = simple	[sound:b76b7bc4ff9c.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
恐れ入りますが、ご住所をお伺いできますでしょうか。	恐れ入りますが	申し訳ないですが	恐れ入りますが	formal polite request	恐れ入ります = formal, 申し訳 = apology	[sound:49696f2d63d0.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
いつもお世話になっております。	になっております	になります	になっております	formal ongoing relation	おります = formal, ります = plain	[sound:52776647a842.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
恐縮ですが、少々よろしいでしょうか。	恐縮ですが	申し訳ないですが	恐縮ですが	formal but polite request	恐縮 = embarrassed formal, 申し訳 = apology	[sound:ed6ffdaa65ea.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
かようなことで大変失礼いたしました。	いたしました	しました	いたしました	humble past apology	いたしました = humble, しました = plain	[sound:822fd5b1ce8b.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
ご指摘ありがとうございます。	ございます	あります	ございます	formal thanks for feedback	ございます = formal, あります = plain	[sound:0815300b49b1.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
さようでございましたか。	ございましたか	ありましたか	ございましたか	formal surprise past	ございました = formal, ありました = plain	[sound:f9b7872abfac.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
お手数ですが。	ですが	ですが	ですが	formal burden apology	お手数 = formal apology, 申し訳 = direct apology	[sound:67abadcd2406.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
ご協力ありがとうございました。	ございました	あります	ございました	formal past cooperation thanks	ございました = formal past, あります = plain	[sound:e66a497ef4be.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
大変失礼いたしました。	いたしました	しました	いたしました	very humble apology	いたしました = humble, しました = plain	[sound:9517caa7e42e.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
ご指導よろしくお願いいたします。	いたします	します	いたします	humble formal request	いたします = humble, します = plain	[sound:a08c5b9826bf.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
お疲れ様です。	様です	様でした	様です	present work gratitude	です = present, でした = past	[sound:1232a5572c56.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
本当にありがとうございました。	ございました	ございます	ございました	emphatic formal past thanks	ございました = past, ございます = present	[sound:8ca8fa1cd965.mp3]	module:04-n2 jlpt:n2 point:n2-set-phrases
