#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::04 - N2 Grammar::Cloze

友達{{c1::とか}}、同僚とかいろんな人がいる。	ともだち{{c1::とか}}、どうりょうとかいろんなにんがいる。	listing informal	[sound:45e56a95a31c.mp3]	
走ったり{{c1::、歩いたり}}して運動する。	はしったり{{c1::、あるいたり}}してうんどうする。	alternation pattern	[sound:d75209cc63c9.mp3]	
学生やら{{c1::、会社員やら}}様々だ。	がくせいやら{{c1::、かいしゃいんやら}}さまざまだ。	formal enumeration	[sound:edea9c2b64e5.mp3]	
子どもだの{{c1::、ペットだの}}大変だ。	こどもだの{{c1::、ぺっとだの}}たいへんだ。	burden listing	[sound:134ceccacf1f.mp3]	
疲れて{{c1::、眠くてしかたがない}}。	つかれて{{c1::、ねむくてしかたがない}}。	overwhelming sensation	[sound:e23a96221671.mp3]	
その香りは良くて{{c1::、たまらない}}。	そのかおりはよくて{{c1::、たまらない}}。	delightful sensation	[sound:8b52fcd58961.mp3]	
今日のテストは難しい{{c1::どころか}}、不可能だ。	きょうのてすとはむずかしい{{c1::どころか}}、ふかのうだ。	escalation beyond expectation	[sound:56e16d6693bc.mp3]	
このご時世、遊んでいる{{c1::どころではない}}。	このごじせい、あそんでいる{{c1::どころではない}}。	can't afford to	[sound:ab179755a9e7.mp3]	
仕事ばかりか{{c1::、プライベートも}}充実している。	しごとばかりか{{c1::、ぷらいべーとも}}じゅうじつしている。	not only expansion	[sound:b1cf61d6343a.mp3]	
努力ばかりでなく{{c1::、才能も}}必要だ。	どりょくばかりでなく{{c1::、さいのうも}}ひつようだ。	formal expansion both	[sound:ca36137a26bd.mp3]	
私は先生に宿題を{{c1::させられた}}。	わたしはせんせいにしゅくだいを{{c1::させられた}}。	causative-passive force	[sound:3a0a358579d7.mp3]	
彼は親に勉強{{c1::させられている}}。	かれはおやにべんきょう{{c1::させられている}}。	ongoing causative-passive	[sound:a8c04e2ad5e5.mp3]	
先生に相談{{c1::させていただきました}}。	せんせいにそうだん{{c1::させていただきました}}。	humble request allowed	[sound:ed94f20d492b.mp3]	
ドアを{{c1::開ける}}。	どあを{{c1::ひらける}}。	transitive open door	[sound:147af2399824.mp3]	
ドアが{{c1::開く}}。	どあが{{c1::ひらく}}。	intransitive door opens	[sound:49276ea08fc4.mp3]	
その話には{{c1::感心させられた}}。	そのはなしには{{c1::かんしんさせられた}}。	involuntary impressed	[sound:a5a844a450ef.mp3]	
彼の才能には{{c1::驚かされた}}。	かのさいのうには{{c1::おどろかされた}}。	involuntary amazed	[sound:9671e6a98c6c.mp3]	
彼が来ないというのは{{c1::、病気らしい}}。	かれがこないというのは{{c1::、びょうきらしい}}。	causal explanation	[sound:e6620345a3a0.mp3]	
時間がないということで{{c1::、会議は中止}}になった。	じかんがないということで{{c1::、かいぎはちゅうし}}になった。	consequence from reason	[sound:b27167b39dd2.mp3]	
年上だからといって{{c1::、必ずしも先輩とは限らない}}。	としうえだからといって{{c1::、かならずしもせんぱいとはかぎらない}}。	negation of assumption	[sound:fc89f3599ebc.mp3]	
給料は安い{{c1::とは言うものの}}、やりがいがある。	きゅうりょうはやすい{{c1::とはいうものの}}、やりがいがある。	concessive contrast	[sound:f141871acc69.mp3]	
彼は好人物{{c1::とは言いがたい}}。	かれはこうじんぶつ{{c1::とはいいがたい}}。	hard to affirm	[sound:790534b54e8e.mp3]	
時間がないので{{c1::、やむを得ず}}途中で帰った。	じかんがないので{{c1::、やむをえず}}とちゅうでかえった。	forced action necessity	[sound:b069d3275436.mp3]	
彼がそんなことを{{c1::するよもやあるまい}}。	かれがそんなことを{{c1::するよもやあるまい}}。	strong negation never	[sound:1e763e285fe9.mp3]	
{{c1::お疲れさまでした}}。	{{c1::おつかれさまでした}}。	work day farewell	[sound:127e934e8fde.mp3]	
{{c1::ありがとうございました}}。	{{c1::ありがとうございました}}。	past formal thanks	[sound:882395686e31.mp3]	
{{c1::お世話になっております}}。	{{c1::おせわになっております}}。	ongoing support gratitude	[sound:fbec766d4191.mp3]	
{{c1::よろしくお願い申し上げます}}。	{{c1::よろしくおねがいもうしあげます}}。	formal request support	[sound:0df433791f3b.mp3]	
{{c1::申し訳ございません}}。	{{c1::もうしわけございません}}。	formal apology	[sound:67c29b8929ed.mp3]	
{{c1::恐縮ですが}}、少々よろしいでしょうか。	{{c1::きょうしゅくですが}}、しょうしょうよろしいでしょうか。	polite but hesitant request	[sound:ed6ffdaa65ea.mp3]	
{{c1::失礼いたします}}。	{{c1::しつれいいたします}}。	formal entry/exit	[sound:15ebb761d91c.mp3]	
その映画を見たいという{{c1::のは}}、とても強い。	そのえいがをみたいという{{c1::のは}}、とてもつよい。	reason description	[sound:b04a14eaa69b.mp3]	
彼女が来ないなんて{{c1::、信じられない}}。	かのじょがこないなんて{{c1::、しんじられない}}。	unbelievable event	[sound:3ff98011dcad.mp3]	
新しい制度だ{{c1::ということで}}、みんな戸惑っている。	あたらしいせいどだ{{c1::ということで}}、みんなとまどっている。	consequence confusion	[sound:7106dd72e0a1.mp3]	
完璧{{c1::とは限らない}}が、良い成果だ。	かんぺき{{c1::とはかぎらない}}が、よいせいかだ。	negation of absolute	[sound:472988240508.mp3]	
