#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition
#
彼の努力からこそ、成功した。	かれのどりょくからこそ、せいこうした。	Precisely because of his effort, he succeeded.	からこそ (precisely because)	V/N + からこそ	Formal emphasis of causal reason	Emphasis — because of X specifically	から: plain reason	[sound:0e9ec9d548e6.mp3]	module:04-n2 jlpt:n2 point:formal-causal
この経験からこそ、学んだことがある。	このけいけんからこそ、まなんだことがある。	It is precisely from this experience that I learned.	からこそ	N + からこそ	Formal emphasis	X is the very thing from which	から: plain reason	[sound:ce83f9936740.mp3]	module:04-n2 jlpt:n2 point:formal-causal
親切にしてくれたからこそ、感謝している。	しんせつにしてくれたからこそ、かんしゃしている。	It is precisely because you were kind that I am grateful.	からこそ	V + からこそ	Formal emphasis	Because of X in particular	から: plain reason	[sound:76db497b35c7.mp3]	module:04-n2 jlpt:n2 point:formal-causal
失敗からこそ、人は成長する。	しっぱいからこそ、ひとはせいちょうする。	It is precisely through failure that people grow.	からこそ	N + からこそ	Formal emphasis	Causal emphasis	から: plain reason	[sound:153533d55784.mp3]	module:04-n2 jlpt:n2 point:formal-causal
信頼があるからこそ、関係が続く。	しんらいがあるからこそ、かんけいがつづく。	It is precisely because there is trust that the relationship continues.	からこそ	N + からこそ	Formal emphasis	Because of X specifically	から: plain reason	[sound:6e905ec2a692.mp3]	module:04-n2 jlpt:n2 point:formal-causal
お金があるからといって、幸せになるわけではない。	おかねがあるからといって、しあわせになるわけではない。	Just because you have money doesn't mean you'll be happy.	からといって (just because)	N/V + からといって	Formal negation of causal assumption	Not necessarily X just because Y	から: plain reason	[sound:d88fb28e995f.mp3]	module:04-n2 jlpt:n2 point:formal-causal
知識があるからといって、実行できるわけではない。	ちしきがあるからといって、じっこうできるわけではない。	Just because you have knowledge doesn't mean you can execute it.	からといって	N + からといって	Formal negation	Not automatically X just because Y	から: plain reason	[sound:e1e170b2b39c.mp3]	module:04-n2 jlpt:n2 point:formal-causal
忙しいからといって、健康を無視してはいけない。	いそがしいからといって、けんこうをむししてはいけない。	You shouldn't ignore health just because you're busy.	からといって	Adj + からといって	Formal prohibition based on assumption	Don't do X just because Y	から: plain reason	[sound:811603a65eca.mp3]	module:04-n2 jlpt:n2 point:formal-causal
子どもだからといって、尊重されるべきである。	こどもだからといって、そんちょうされるべきである。	Just because one is a child doesn't mean they shouldn't be respected.	からといって	Copula + からといって	Formal negation	Not excluded from X just because Y	から: plain reason	[sound:a37513f2182b.mp3]	module:04-n2 jlpt:n2 point:formal-causal
親の反対があるからといって、諦めるべきではない。	おやのはんたいがあるからといって、あきらめるべきではない。	You shouldn't give up just because your parents oppose.	からといって	N + からといって	Formal rejection of obstacle	Don't give up just because X	から: plain reason	[sound:44fa06916ff0.mp3]	module:04-n2 jlpt:n2 point:formal-causal
その理由からして、計画は失敗するだろう。	そのりゆうからして、けいかくはしっぱいするだろう。	Starting from that reason alone, the plan will fail.	からして (from the very fact)	N + からして	Formal inference from evidence	From X alone, we can infer Y	から: plain reason	[sound:308303af8317.mp3]	module:04-n2 jlpt:n2 point:formal-causal
名前からして、外国人だと分かる。	なまえからして、がいこくじんだとわかる。	From the very name, you can tell he's a foreigner.	からして	N + からして	Inference from evidence	From X you can infer Y	から: plain reason	[sound:15d5f1fe7786.mp3]	module:04-n2 jlpt:n2 point:formal-causal
顔色からして、体調が悪そうだ。	がんしょくからして、たいちょうがわるそうだ。	From his complexion alone, you can tell he's in poor health.	からして	N + からして	Inference from observation	From appearance alone, we infer	から: plain reason	[sound:91a6e555ac98.mp3]	module:04-n2 jlpt:n2 point:formal-causal
対応からして、怒っているに違いない。	たいおうからして、おこっているにちがいない。	From his response alone, he must be angry.	からして	N + からして	Inference from behavior	From X behavior, we conclude Y	から: plain reason	[sound:f476ba545235.mp3]	module:04-n2 jlpt:n2 point:formal-causal
このデータからして、傾向が明らかだ。	このでーたからして、けいこうがあきらかだ。	From this data alone, the trend is clear.	からして	N + からして	Inference from data	From X evidence, trend is Y	から: plain reason	[sound:ac37cc1e1cef.mp3]	module:04-n2 jlpt:n2 point:formal-causal
合意があるからには、約束を守るべきだ。	ごういがあるからには、やくそくをまもるべきだ。	If there is agreement, one should keep the promise.	からには (if...then)	N + からには	Formal conditional obligation	If X is true, then must Y	から: plain reason	[sound:7927df81a00c.mp3]	module:04-n2 jlpt:n2 point:formal-causal
