#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast

友達や同僚を誘う。	や	とか	や	formal listing	や = formal, とか = casual	[sound:c9c16affa77b.mp3]	module:04-n2 jlpt:n2 point:listing-extremity complexity:intro confusable-with:とか frequency:top10k
コーヒーとか紅茶とか飲みたい。	とか・とか	や・や	とか・とか	informal enumeration	とか = casual, や = formal	[sound:6886f8cd38bc.mp3]	module:04-n2 jlpt:n2 point:listing-extremity complexity:standard confusable-with:や・や frequency:top1k
走ったり歩いたりして運動する。	たり・たり	やら・やら	たり・たり	rhythm pattern	たり = specific actions, やら = loose listing	[sound:9258b40c54f5.mp3]	module:04-n2 jlpt:n2 point:listing-extremity complexity:standard confusable-with:やら・やら frequency:top5k
彼は優秀どころか完璧だ。	どころか	どころではない	どころか	escalation beyond degree	どころか = exceeds, どころではない = can't afford	[sound:4fde2672dacb.mp3]	module:04-n2 jlpt:n2 point:listing-extremity complexity:intro confusable-with:どころではない frequency:top10k
このご時世、遊んでいるどころではない。	どころではない	どころか	どころではない	can't afford to do	どころではない = impossible, どころか = escalation	[sound:ab179755a9e7.mp3]	module:04-n2 jlpt:n2 point:listing-extremity complexity:standard confusable-with:どころか frequency:top10k
仕事ばかりか、プライベートも充実している。	ばかりか	ばかりでなく	ばかりか	informal not-only expansion	ばかりか = casual, ばかりでなく = formal	[sound:b1cf61d6343a.mp3]	module:04-n2 jlpt:n2 point:listing-extremity complexity:standard confusable-with:ばかりでなく frequency:low
努力ばかりでなく、才能も必要だ。	ばかりでなく	ばかりか	ばかりでなく	formal not-only expansion	ばかりでなく = formal, ばかりか = casual	[sound:ca36137a26bd.mp3]	module:04-n2 jlpt:n2 point:listing-extremity complexity:standard confusable-with:ばかりか frequency:top10k
疲れて眠くてしかたがない。	てしかたがない	てたまらない	てしかたがない	irresistible helplessness	しかたがない = forced, たまらない = intensity	[sound:f4f093f27411.mp3]	module:04-n2 jlpt:n2 point:listing-extremity complexity:standard confusable-with:てたまらない frequency:top10k
その香りは良くてたまらない。	てたまらない	てしかたがない	てたまらない	unbearable sensation	たまらない = intense, しかたがない = helpless	[sound:7414b95fe726.mp3]	module:04-n2 jlpt:n2 point:listing-extremity complexity:standard confusable-with:てしかたがない frequency:top10k
子どもまでが笑った。	まで	ばかりか	まで	inclusive extent even	まで = extent, ばかりか = expansion	[sound:09f462c54f40.mp3]	module:04-n2 jlpt:n2 point:listing-extremity complexity:intro confusable-with:ばかりか frequency:top5k
