#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::04 - N2 Grammar::Production

Japan and America cooperate.	および	にほんおよびあめりかがきょうりょくする。	日本およびアメリカが協力する。	および: formal dyad — joins two equal nouns in written/official Japanese	[sound:2052394fe22b.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:top10k source:shin-kanzen
Men and women are the target.	および	だんせいおよびじょせいがたいしょうである。	男性および女性が対象である。	および: exhaustive binary enumeration — both groups explicitly included	[sound:48d1d523093d.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:top10k source:shin-kanzen
Technology and knowledge are necessary.	および	ぎじゅつおよびちしきがひつようだ。	技術および知識が必要だ。	および: paired requirement — both elements equally and jointly necessary	[sound:ef75db94181b.mp3]	module:04-n2 jlpt:n2 point:および complexity:intro frequency:top10k source:shin-kanzen
We visited Hokkaido and Okinawa.	および	ほっかいどうおよびおきなわをほうもんした。	北海道および沖縄を訪問した。	および: geographic dyad — formal joining of two distinct named locations	[sound:e58eba2151ec.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:top10k source:shin-kanzen
Students and faculty participate.	および	がくせいおよびきょういんがさんかする。	学生および教員が参加する。	および: participant group pairing — two categories jointly enumerated	[sound:9c027e02e4c9.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:top10k source:shin-kanzen
There are economic and social issues.	および	けいざいおよびしゃかいてきもんだいがある。	経済および社会的問題がある。	および: dual-domain join — two parallel problem areas joined formally	[sound:1e9675ed206f.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:top5k source:shin-kanzen
I handle manufacturing and sales operations.	および	せいぞうおよびはんばいぎょうむをたんとうする。	製造および販売業務を担当する。	および: function enumeration — two organizational roles listed together	[sound:f2e22f571de0.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:low source:shin-kanzen
There are public and private sessions.	および	こうかいおよびひこうかいせっしょんがある。	公開および非公開セッションがある。	および: binary-opposite join — formal pairing of complementary item pair	[sound:c9b2abed4c02.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:low source:shin-kanzen
Japan as well as America consented.	ならびに	にほんならびにあめりかがどういした。	日本並びにアメリカが同意した。	並びに: elevated formal dyad — higher register than および; legal/official documents	[sound:1f681aa6bcef.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:low source:shin-kanzen
Reform in both politics and economics is necessary.	ならびに	せいじならびにけいざいのかいかくがひつよう。	政治並びに経済の改革が必要。	並びに: formal parallel listing — multiple domains; more elevated than および	[sound:337c7ade45ea.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:low source:shin-kanzen
Development of both science and art.	ならびに	かがくならびにげいじゅつのはってん。	科学並びに芸術の発展。	並びに: cultural domain pairing — fields joined with elevated formal register	[sound:ae27eaeae8de.mp3]	module:04-n2 jlpt:n2 point:および complexity:intro frequency:low source:shin-kanzen
