#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast

それは事実に相違ありません。	にちがいない	に決まっている	に相違ない	に相違ない = no doubt/undoubtedly (formal)	No doubt about that fact	[sound:ce843f05cbb8.mp3]	module:04-n2 jlpt:n2 register:literary point:に相違ない pos:expr frequency:low complexity:standard source:shin-kanzen
彼の勝利___。	にちがいない	に決まっている	に相違ない	に相違ない = certain/undeniable (formal)	His victory is undeniable	[sound:f229407b7331.mp3]	module:04-n2 jlpt:n2 register:literary point:に相違ない pos:expr frequency:low complexity:intro source:shin-kanzen
明日は雨が降る___。	に相違ない	に決まっている	にちがいない	にちがいない = must be/surely	It must rain tomorrow	[sound:55173c8368b2.mp3]	module:04-n2 jlpt:n2 register:literary point:に相違ない pos:expr frequency:top1k complexity:standard source:shin-kanzen complexity:intro
彼がやった___。	に相違ない	に決まっている	にちがいない	にちがいない = must have (inference)	He must have done it	[sound:cc20347e39b6.mp3]	module:04-n2 jlpt:n2 register:literary point:に相違ない pos:expr frequency:top5k complexity:intro source:shin-kanzen
絶対に失敗___。	に相違ない	にちがいない	に決まっている	に決まっている = bound to/certain (emphatic)	Absolutely bound to fail	[sound:291d2ce4e857.mp3]	module:04-n2 jlpt:n2 register:literary point:に相違ない pos:expr frequency:low complexity:standard source:shin-kanzen complexity:intro
そんなことが成功___。	に相違ない	にちがいない	に決まっている	に決まっている = bound to/determined (certain)	Bound to succeed at such thing	[sound:1fd438e44da7.mp3]	module:04-n2 jlpt:n2 register:literary point:に相違ない pos:expr frequency:low complexity:standard source:shin-kanzen complexity:intro
その話は本当に相違ありません。	にちがいない	に決まっている	に相違ない	に相違ない = no mistake/definitely (formal)	That story is definitely true	[sound:c6b2bc03f132.mp3]	module:04-n2 jlpt:n2 register:literary point:に相違ない pos:expr frequency:low complexity:standard source:shin-kanzen
彼のメッセージは急いでいる___。	に相違ない	にちがいない	に決まっている	に決まっている = obvious/evident	Obviously his message is urgent	[sound:ac5aac3393a5.mp3]	module:04-n2 jlpt:n2 register:literary point:に相違ない pos:expr frequency:low complexity:standard source:shin-kanzen
その会社は潰れるに相違ありません。	にちがいない	に決まっている	に相違ない	に相違ない = bound to/certainly (formal)	That company is bound to fail	[sound:fe2126f75262.mp3]	module:04-n2 jlpt:n2 register:literary point:に相違ない pos:expr frequency:low complexity:standard source:shin-kanzen
彼は来る___。	に相違ない	にちがいない	に決まっている	に決まっている = certain to/sure to	He's sure to come	[sound:832a67400ac4.mp3]	module:04-n2 jlpt:n2 register:literary point:に相違ない pos:expr frequency:low complexity:intro source:shin-kanzen
