#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#
#deck:Japanese Grammar (Strict)::04 - N2 Grammar::Recognition

長い交渉の挙句、合意に達した。	ながいこうしょうのあげく、ごういにたっした。	After long negotiations, an agreement was reached.	あげく (in the end)	N + の + あげく	Formal result after long process	After a long X, finally Y	すえに: similar formal result	[sound:befb670f88e0.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
苦労の挙句、夢を実現した。	くろうのあげく、ゆめをじつげんした。	After hardship, he realized his dream.	あげく	N + の + あげく	Formal result	After struggle, achieved Y	すえに: similar formal result	[sound:075be73e8dc3.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:intro frequency:top10k source:shin-kanzen
何度も失敗の挙句、成功した。	なんどもしっぱいのあげく、せいこうした。	After many failures, he succeeded.	あげく	N + の + あげく	Formal result	After repeated failures, Y	すえに: similar formal result	[sound:808ab321ca06.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
長年の努力の挙句、目標を達成した。	ながねんのどりょくのあげく、もくひょうをたっせいした。	After years of effort, the goal was achieved.	あげく	N + の + あげく	Formal result	After years of work, reached Y	すえに: similar formal result	[sound:4ce05af228a8.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
多くの試行錯誤の挙句、解決策が見つかった。	おおくのしこうさくごのあげく、かいけつさくがみつかった。	After many trials and errors, a solution was found.	あげく	N + の + あげく	Formal result	After experimentation, found Y	すえに: similar formal result	[sound:0b7c30dbcc24.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
長い人生の果てに、彼は悟りを開いた。	ながいじんせいのすえに、かれはさとりをひらいた。	At the end of a long life, he achieved enlightenment.	すえに (at the end of)	N + の + すえに	Formal temporal result	At end of long X, finally Y	あげく: similar formal result	[sound:7bafd56cbbe2.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
多くの研究の果てに、発見に至った。	おおくのけんきゅうのすえに、はっけんにいたった。	After extensive research, a discovery was made.	すえに	N + の + すえに	Formal result	After research, came to Y	あげく: similar formal result	[sound:8649be619882.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
長期の交渉の果てに、条約が調印された。	ちょうきのこうしょうのすえに、じょうやくがちょういんされた。	After protracted negotiations, the treaty was signed.	すえに	N + の + すえに	Formal result	After long negotiation, signed Y	あげく: similar formal result	[sound:83d994fe85a7.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
年月の果てに、その事実が明らかになった。	としつきのすえに、そのじじつがあきらかになった。	After the passage of years, the fact became clear.	すえに	N + の + すえに	Formal temporal result	After many years, revealed Y	あげく: similar formal result	[sound:baefc4f7f97e.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
追跡の果てに、犯人を捕まえた。	ついせきのすえに、はんにんをつかまえた。	After pursuit, the criminal was caught.	すえに	N + の + すえに	Formal result	After chase, apprehended Y	あげく: similar formal result	[sound:6384a7460e12.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
仕事が忙しいわりに、給料が低い。	しごとがいそがしいわりに、きゅうりょうがひくい。	Despite how busy the work is, the pay is low.	わりに(は) (despite/in proportion to)	Adj + わりに(は)	Formal concessive ratio	Despite how X, Y is low	ばかりか: similar concessive	[sound:6e13c33efb62.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
簡単そうに見えるわりに、実は難しい。	かんたんそうにみえるわりに、じつはむずかしい。	Despite looking easy, it's actually difficult.	わりに(は)	V + わりに(は)	Formal concessive	Looks X but actually Y	ばかりか: similar concessive	[sound:1f91611afbb8.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
彼は若いわりに成熟している。	かれはわかいわりにせいじゅくしている。	For his age, he is mature.	わりに(は)	Adj + わりに(は)	Formal proportion	Given how young, quite Y	ばかりか: similar concessive	[sound:ad8ea87b9015.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
値段の割には質が良い。	ねだんのわりにはしつがよい。	For the price, the quality is good.	わりに(は)	N + の + わりに(は)	Formal value proportion	For the cost, quality is Y	ばかりか: similar concessive	[sound:ee46c70f34ff.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:intro frequency:top10k source:shin-kanzen
規模のわりに、スタッフが少ない。	きぼのわりに、すたっふがすくない。	For its size, the staff is small.	わりに(は)	N + の + わりに(は)	Formal proportion	For scale, staff is Y	ばかりか: similar concessive	[sound:6a9d6cbed336.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
彼は有名であるばかりか、金持ちでもある。	かれはゆうめいであるばかりか、かねもちでもある。	Not only is he famous, but he is also rich.	ばかりか (not only...but also)	Copula + ばかりか	Formal additive emphasis	Not only X but also Y	どころか: similar additive	[sound:bfaf5d58ad0a.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
優しいばかりか、聡明でもある。	やさしいばかりか、そうめいでもある。	Not only kind but also wise.	ばかりか	Adj + ばかりか	Formal additive	Not only X but also Y	どころか: similar additive	[sound:12e00a48df07.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top5k source:shin-kanzen
仕事ばかりか、趣味も充実している。	しごとばかりか、しゅみもじゅうじつしている。	Not only work but hobbies too are fulfilling.	ばかりか	N + ばかりか	Formal additive	Not only X but Y too	どころか: similar additive	[sound:8d572fe1f785.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
日本語ばかりか、英語も話す。	にほんごばかりか、えいごもはなす。	Not only Japanese but English as well.	ばかりか	N + ばかりか	Formal additive	Not only X but also Y	どころか: similar additive	[sound:772dc7ba880b.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
読むばかりか、書くこともできる。	よむばかりか、かくこともできる。	Not only can read but can also write.	ばかりか	V + ばかりか	Formal additive	Not only read but write Y	どころか: similar additive	[sound:a066a8ff8102.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top1k source:shin-kanzen
彼は有名であるばかりでなく、有能でもある。	かれはゆうめいであるばかりでなく、ゆうのうでもある。	He is not only famous but also capable.	ばかりでなく (not only...but)	Copula + ばかりでなく	Formal additive negation	Not just X but also Y	ばかりか: similar form	[sound:b2ebe94c3230.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
効果的ばかりでなく、費用も安い。	こうかてきばかりでなく、ひようもやすい。	Not only effective but also inexpensive.	ばかりでなく	Adj + ばかりでなく	Formal additive	Not just X but Y too	ばかりか: similar form	[sound:adb2879d8e0d.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
