#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::06 - Keigo::Contrast

よろしいですか。	よろしいですか	よろしいでしょうか	よろしいでしょうか	でしょうか is more polite than ですか.	Use でしょうか for politeness.	[sound:8cabe9375fd0.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:よろしいですか source:dictionary-of-jp-grammar sense:keigo-alternatives
される。	される	いらっしゃる	いらっしゃる	いらっしゃる (honor) > passive される alone.	Honorific > bare passive.	[sound:70bbb70ef1ae.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:される source:dictionary-of-jp-grammar sense:keigo-alternatives
お・になる。	お・です	お・になる	お・になる	お・になる (honor action) > お・です (polite adj).	Honor action > polite adjective.	[sound:7f3dd573b5d2.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:お・です source:dictionary-of-jp-grammar sense:keigo-alternatives
お忙しいです。	忙しいです	お忙しいでしょうか	お忙しいでしょうか	Bikago + でしょうか = max politeness.	Bikago + でしょうか = formal.	[sound:c7cb7d13856c.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:忙しいです frequency:top1k source:dictionary-of-jp-grammar sense:keigo-alternatives
申し訳ありません。	申し訳ありません	申し訳ございません	申し訳ございません	ございません > ありません in apology.	ございません for apologies.	[sound:73384f9e4937.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:申し訳ありません frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
ご説明します。	説明します	ご説明いたします	ご説明いたします	Bikago + いたす = strong humility.	Bikago + いたす = humble.	[sound:70dc55f420ac.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:説明します frequency:top5k source:dictionary-of-jp-grammar sense:keigo-alternatives
召し上がってください。	食べてください	召し上がってください	召し上がってください	Honor verb > plain verb.	Honor verbs show respect.	[sound:9a9dbc04cdef.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:食べてください frequency:top1k source:dictionary-of-jp-grammar sense:keigo-alternatives
拝見します。	見ます	拝見いたします	拝見いたします	Special humble + いたす = max.	Humble verb + いたす = formal.	[sound:d0712ac13c84.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:見ます frequency:top5k source:dictionary-of-jp-grammar sense:keigo-alternatives
お読みになりました。	読みました	お読みになりました	お読みになりました	Honor pattern > plain verb.	Honor pattern = respect.	[sound:dc00698852d1.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:読みました frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
ご存じだ。	知っている	ご存じだ	ご存じだ	Special honor > plain.	Special honor verbs.	[sound:fce5d2128fc7.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:知っている source:dictionary-of-jp-grammar sense:keigo-alternatives
お世話になっています。	お世話になっています	お世話になっております	お世話になっております	ている < ており in formality.	ており > ている.	[sound:f21415606ae1.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:お世話になっています frequency:top5k source:dictionary-of-jp-grammar sense:keigo-alternatives
ご理解ください。	理解してください	ご理解いただけますか	ご理解いただけますか	いただけますか > ください.	いただけますか = respectful.	[sound:b4201657105c.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:理解してください frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
いかがですか。	どうですか	いかがでしょうか	いかがでしょうか	いかが + でしょうか = max.	いかがでしょうか = formal.	[sound:ce65af9e600b.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:どうですか source:dictionary-of-jp-grammar sense:keigo-alternatives
承知しました。	わかりました	承知いたしました	承知いたしました	承知いたした > わかった.	承知 = formal.	[sound:733c121cc509.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:わかりました frequency:top5k source:dictionary-of-jp-grammar sense:keigo-alternatives
お返事をお願いします。	返事をしてください	お返事をいただきたいです	お返事をいただきたいです	いただきたい > ください.	いただきたい = humble.	[sound:216f03ac3ce6.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:返事をしてください frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
ご不明な点があります。	不明な点があります	ご不明な点がございます	ご不明な点がございます	ございます > あります.	ございます = formal.	[sound:5e90434a7d68.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:不明な点があります frequency:low source:dictionary-of-jp-grammar sense:keigo-alternatives
お待たせしてしまいました。	待たせてしまいました	お待たせいたしました	お待たせいたしました	いたした = formal apology.	いたした > しまった.	[sound:d2d96dc52236.mp3]	module:06-keigo point:keigo-stacking complexity:standard confusable-with:待たせてしまいました source:dictionary-of-jp-grammar sense:keigo-alternatives
拝見させていただきます。	見させていただきます	拝見させていただきます	拝見させていただきます	拝見 + させていただく = triple.	Double stacking (special humble + permission request) = formal.	[sound:8067d90d04cd.mp3]	module:06-keigo point:keigo-stacking complexity:intro confusable-with:見させていただきます frequency:top5k source:dictionary-of-jp-grammar sense:keigo-alternatives
お忙しいところありがとう。	忙しいところありがとう	お忙しいところありがとうございます	お忙しいところありがとうございます	Bikago + ございます = formal.	Bikago + ございます.	[sound:65213504d9bb.mp3]	module:06-keigo point:keigo-stacking complexity:standard confusable-with:忙しいところありがとう frequency:top1k source:dictionary-of-jp-grammar sense:keigo-alternatives
