#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::06 - Keigo (Honorifics)::Recognition
#
お医者さんが召し上がっています。		召し上がる (eating) shows respect to doctor; not for self.	contrast-derived	召し上がる	召し上がる (eating) shows respect to doctor; not for self.	Respect verb used for higher status.	お医者さんが食べています。 vs 私が召し上がっています。	[sound:84ba489967d8.mp3]	module:06-keigo point:sonkei-vs-kenjo complexity:standard frequency:top1k source:dictionary-of-jp-grammar sense:keigo-alternatives
その絵をご覧になりました。		ご覧になる = honorific viewing; 拝見する = humble viewing.	contrast-derived	拝見する	ご覧になる = honorific viewing; 拝見する = humble viewing.	Same action: honor vs humble.	その絵を見ました。 vs その絵を拝見いたしました。	[sound:5747ae1a5740.mp3]	module:06-keigo point:sonkei-vs-kenjo complexity:standard frequency:top1k source:dictionary-of-jp-grammar sense:keigo-alternatives
先生がおっしゃいました。		おっしゃる = honorific saying; 申す = humble saying.	contrast-derived	申す	おっしゃる = honorific saying; 申す = humble saying.	Speaking: honor vs humble.	先生が言いました。 vs 私が申します。	[sound:76243800d123.mp3]	module:06-keigo point:sonkei-vs-kenjo complexity:intro frequency:top1k source:dictionary-of-jp-grammar sense:keigo-alternatives
お客様がお受けになりました。		お受けになる = honorific accepting; 承る = humble.	contrast-derived	承る	お受けになる = honorific accepting; 承る = humble.	Acceptance levels.	お客様が受け取りました。 vs 私が承りました。	[sound:94dcd50fc70a.mp3]	module:06-keigo point:sonkei-vs-kenjo complexity:standard frequency:top5k source:dictionary-of-jp-grammar sense:keigo-alternatives
田中さんが召し上がるそうです。		召し上がる (about Tanaka); いただく (about self).	contrast-derived	いただく	召し上がる (about Tanaka); いただく (about self).	Food: honor vs humble.	田中さんが食べるそうです。 vs 私がいただくそうです。	[sound:7bfc7b606e3e.mp3]	module:06-keigo point:sonkei-vs-kenjo complexity:standard frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
お父さんがお帰りになります。		お帰りになる (about father); 帰宅いたす (about self).	contrast-derived	帰宅いたす	お帰りになる (about father); 帰宅いたす (about self).	Returning: honor vs humble.	お父さんが帰ります。 vs 私が帰宅いたします。	[sound:71513dd18b86.mp3]	module:06-keigo point:sonkei-vs-kenjo complexity:standard frequency:top5k source:dictionary-of-jp-grammar sense:keigo-alternatives
先生がお答えになりました。		お答えになる = honorific; お答えさせていただく = humble.	contrast-derived	お答えさせていただく	お答えになる = honorific; お答えさせていただく = humble.	Answering: honor vs humble.	先生が答えました。 vs 私がお答えさせていただきました。	[sound:04af8037e113.mp3]	module:06-keigo point:sonkei-vs-kenjo complexity:standard frequency:top5k source:dictionary-of-jp-grammar sense:keigo-alternatives
先輩がお飲みになります。		お飲みになる (honor); いただく (humble).	contrast-derived	いただく	お飲みになる (honor); いただく (humble).	Drinking: honor vs humble.	先輩が飲みます。 vs 私がいただきます。	[sound:c8309a0a626d.mp3]	module:06-keigo point:sonkei-vs-kenjo complexity:intro frequency:top5k source:dictionary-of-jp-grammar sense:keigo-alternatives
先生がお話しになりました。		お話しになる (honor); 申し上げる (humble).	contrast-derived	申し上げる	お話しになる (honor); 申し上げる (humble).	Speaking: honor vs humble.	先生が話しました。 vs 私が申し上げました。	[sound:e742666073c9.mp3]	module:06-keigo point:sonkei-vs-kenjo complexity:standard frequency:top1k source:dictionary-of-jp-grammar sense:keigo-alternatives
お医者さんがお持ちになります。		お持ちになる (honor); 持たせていただく (humble).	contrast-derived	持たせていただく	お持ちになる (honor); 持たせていただく (humble).	Carrying: honor vs permission.	お医者さんが持っています。 vs 私が持たせていただきます。	[sound:d5662b8ddb45.mp3]	module:06-keigo point:sonkei-vs-kenjo complexity:standard frequency:top1k source:dictionary-of-jp-grammar sense:keigo-alternatives
