#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::06 - Keigo::Contrast
お医者さんが召し上がっています。	お医者さんが食べています。	私が召し上がっています。	召し上がる	召し上がる (eating) shows respect to doctor; not for self.	Respect verb used for higher status.	[sound:84ba489967d8.mp3]	module:06-keigo point:sonkei-vs-kenjo
その絵をご覧になりました。	その絵を見ました。	その絵を拝見いたしました。	拝見する	ご覧になる = honorific viewing; 拝見する = humble viewing.	Same action: honor vs humble.	[sound:5747ae1a5740.mp3]	module:06-keigo point:sonkei-vs-kenjo
先生がおっしゃいました。	先生が言いました。	私が申します。	申す	おっしゃる = honorific saying; 申す = humble saying.	Speaking: honor vs humble.	[sound:76243800d123.mp3]	module:06-keigo point:sonkei-vs-kenjo
お客様がお受けになりました。	お客様が受け取りました。	私が承りました。	承る	お受けになる = honorific accepting; 承る = humble.	Acceptance levels.	[sound:94dcd50fc70a.mp3]	module:06-keigo point:sonkei-vs-kenjo
田中さんが召し上がるそうです。	田中さんが食べるそうです。	私がいただくそうです。	いただく	召し上がる (about Tanaka); いただく (about self).	Food: honor vs humble.	[sound:7bfc7b606e3e.mp3]	module:06-keigo point:sonkei-vs-kenjo
お父さんがお帰りになります。	お父さんが帰ります。	私が帰宅いたします。	帰宅いたす	お帰りになる (about father); 帰宅いたす (about self).	Returning: honor vs humble.	[sound:71513dd18b86.mp3]	module:06-keigo point:sonkei-vs-kenjo
先生がお答えになりました。	先生が答えました。	私がお答えさせていただきました。	お答えさせていただく	お答えになる = honorific; お答えさせていただく = humble.	Answering: honor vs humble.	[sound:04af8037e113.mp3]	module:06-keigo point:sonkei-vs-kenjo
先輩がお飲みになります。	先輩が飲みます。	私がいただきます。	いただく	お飲みになる (honor); いただく (humble).	Drinking: honor vs humble.	[sound:c8309a0a626d.mp3]	module:06-keigo point:sonkei-vs-kenjo
先生がお話しになりました。	先生が話しました。	私が申し上げました。	申し上げる	お話しになる (honor); 申し上げる (humble).	Speaking: honor vs humble.	[sound:e742666073c9.mp3]	module:06-keigo point:sonkei-vs-kenjo
お医者さんがお持ちになります。	お医者さんが持っています。	私が持たせていただきます。	持たせていただく	お持ちになる (honor); 持たせていただく (humble).	Carrying: honor vs permission.	[sound:d5662b8ddb45.mp3]	module:06-keigo point:sonkei-vs-kenjo
田中さんがお読みになられます。	田中さんが読みます。	私が拝読いたします。	拝読いたす	Double honorific vs humble.	Double honor vs humble.	[sound:a776b4bb44c0.mp3]	module:06-keigo point:sonkei-vs-kenjo
先生がお聞きになりました。	先生が聞きました。	私が拝聴いたしました。	拝聴いたした	お聞きになる (honor); 拝聴いたす (humble).	Listening: honor vs humble.	[sound:84015bac5c42.mp3]	module:06-keigo point:sonkei-vs-kenjo
お父さんがお決めになりました。	お父さんが決めました。	私が決めさせていただきました。	決めさせていただいた	お決めになる (honor); 決めさせていただく (humble).	Deciding: honor vs permission.	[sound:cb82536122d8.mp3]	module:06-keigo point:sonkei-vs-kenjo
社長がご説明になります。	社長が説明します。	私がご説明いたします。	ご説明いたす	ご説明になる (honor); ご説明いたす (humble).	Explaining: honor vs humble.	[sound:8eed7d1afca3.mp3]	module:06-keigo point:sonkei-vs-kenjo
先輩がお住みになります。	先輩が住んでいます。	私がお世話になっています。	お世話になっている	お住みになる (honor); お世話になっている (humble).	Living: honor vs grateful.	[sound:fabfa67ca9ad.mp3]	module:06-keigo point:sonkei-vs-kenjo
お医者さんがお忙しいです。	お医者さんが忙しいです。	私がお手数をおかけします。	お手数をおかけする	お忙しい (honor); お手数をおかけする (humble).	Busy: honor vs apology.	[sound:4211fde036a4.mp3]	module:06-keigo point:sonkei-vs-kenjo
先生がお見えになりました。	先生が見えました。	私が参上いたしました。	参上いたした	お見えになる (honor); 参上いたす (humble).	Appearing: honor vs humble.	[sound:097f924064db.mp3]	module:06-keigo point:sonkei-vs-kenjo
お客様がお越しになりました。	お客様が来ました。	私が伺いました。	伺った	お越しになる (honor); 伺う (humble).	Coming: honor vs humble.	[sound:0931b6633bb1.mp3]	module:06-keigo point:sonkei-vs-kenjo
