#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast

日本に限らず、世界中で流行している。	のみならず	ばかりか	に限らず	に限らず = not only/not limited to	Not only Japan, worldwide trend	[sound:ca77ad67653b.mp3]	module:05-n1 jlpt:n1 register:literary point:のなんのって pos:expr frequency:top10k complexity:standard source:shin-kanzen
大人に限らず、子どもも参加した。	のみならず	ばかりか	に限らず	に限らず = not limited to	Not limited to adults, children participated	[sound:0ac5b4633ee8.mp3]	module:05-n1 jlpt:n1 register:literary point:のなんのって pos:expr frequency:top10k complexity:standard source:shin-kanzen
有能なのみならず、親切でもある。	に限らず	ばかりか	のみならず	のみならず = not only but also (formal)	Not only capable but also kind	[sound:795084eb5ffe.mp3]	module:05-n1 jlpt:n1 register:literary point:のなんのって pos:expr frequency:top10k complexity:standard source:shin-kanzen
豊かなのみならず、幸せでもある。	に限らず	ばかりか	のみならず	のみならず = not only...but also	Not only rich but also happy	[sound:b8cb7b1c7927.mp3]	module:05-n1 jlpt:n1 register:literary point:のなんのって pos:expr frequency:top10k complexity:standard source:shin-kanzen
優秀ばかりか、思いやりもある。	に限らず	のみならず	ばかりか	ばかりか = not only X but Y (emphasis)	Not only excellent, also considerate	[sound:b1c6f7856a32.mp3]	module:05-n1 jlpt:n1 register:literary point:のなんのって pos:expr frequency:top10k complexity:standard source:shin-kanzen
美しいばかりか、頭もいい。	に限らず	のみならず	ばかりか	ばかりか = moreover/what's more	What's more, also intelligent	[sound:6256e9bb02e7.mp3]	module:05-n1 jlpt:n1 register:literary point:のなんのって pos:expr frequency:top5k complexity:intro source:shin-kanzen
雨の日に限らず、晴れの日も来た。	のみならず	ばかりか	に限らず	に限らず = not only/on all days	Came not only rainy but sunny days	[sound:240c553bbc44.mp3]	module:05-n1 jlpt:n1 register:literary point:のなんのって pos:expr frequency:top10k complexity:standard source:shin-kanzen
経験豊かなのみならず、知識も深い。	に限らず	ばかりか	のみならず	のみならず = not only but also (N formal)	Experience-rich, and knowledge also deep	[sound:5562f5e1b576.mp3]	module:05-n1 jlpt:n1 register:literary point:のなんのって pos:expr frequency:top10k complexity:standard source:shin-kanzen
助言になるばかりか、励ましにもなった。	に限らず	のみならず	ばかりか	ばかりか = not only...also	Served not only as advice but encouragement	[sound:9d9d94eaa7e7.mp3]	module:05-n1 jlpt:n1 register:literary point:のなんのって pos:expr frequency:low complexity:standard source:shin-kanzen
学問に限らず、技術も大切だ。	のみならず	ばかりか	に限らず	に限らず = extends beyond	Extends beyond learning to technology	[sound:af56c42c42cd.mp3]	module:05-n1 jlpt:n1 register:literary point:のなんのって pos:expr frequency:top10k complexity:standard source:shin-kanzen
