#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast

強大国___、責任が大きい。	ともなると	にしてみれば	ともなれば	ともなれば = if it comes to being/once becomes	Once become superpower, big responsibility	[sound:a380c42b4a5e.mp3]	module:05-n1 jlpt:n1 register:literary point:にしてみれば pos:expr frequency:low complexity:standard source:shin-kanzen
そのレベル___、簡単な話だ。	ともなると	にしてみれば	ともなれば	ともなれば = when reaching that level	When at that level, simple matter	[sound:f487f4d3d9b3.mp3]	module:05-n1 jlpt:n1 register:literary point:にしてみれば pos:expr frequency:top10k complexity:standard source:shin-kanzen
先生___、説明が違う。	ともなれば	にしてみれば	ともなると	ともなると = when it comes to being	When it comes to being a teacher, explanation differs	[sound:203a0a3447bb.mp3]	module:05-n1 jlpt:n1 register:literary point:にしてみれば pos:expr frequency:top5k complexity:standard source:shin-kanzen
大企業___、戦略が複雑だ。	ともなれば	にしてみれば	ともなると	ともなると = in the case of being	In case of large company, strategy complex	[sound:18c793c7f548.mp3]	module:05-n1 jlpt:n1 register:literary point:にしてみれば pos:expr frequency:top10k complexity:standard source:shin-kanzen
私たち___、その選択はない。	ともなれば	ともなると	にしてみれば	にしてみれば = from our perspective/if we consider	From our perspective, no such choice	[sound:f7521ef35a63.mp3]	module:05-n1 jlpt:n1 register:literary point:にしてみれば pos:expr frequency:top10k complexity:standard source:shin-kanzen
素人___、難しい技術だ。	ともなれば	ともなると	にしてみれば	にしてみれば = from a layperson's view	From a layperson's view, difficult tech	[sound:e6f0bd166fdb.mp3]	module:05-n1 jlpt:n1 register:literary point:にしてみれば pos:expr frequency:low complexity:standard source:shin-kanzen
獣医___、病気を見抜く。	ともなると	にしてみれば	ともなれば	ともなれば = when become a vet	When become vet, diagnose disease	[sound:46e4850d3ac9.mp3]	module:05-n1 jlpt:n1 register:literary point:にしてみれば pos:expr frequency:low complexity:standard source:shin-kanzen
著者___、出版費用が変わる。	ともなれば	にしてみれば	ともなると	ともなると = when it's an author	When it's an author, publication costs change	[sound:a8e35f26033c.mp3]	module:05-n1 jlpt:n1 register:literary point:にしてみれば pos:expr frequency:top10k complexity:standard source:shin-kanzen
日本人___、季節感は重要。	ともなれば	ともなると	にしてみれば	にしてみれば = from Japanese viewpoint	From Japanese viewpoint, seasons important	[sound:8603d72fa1a1.mp3]	module:05-n1 jlpt:n1 register:literary point:にしてみれば pos:expr frequency:top10k complexity:standard source:shin-kanzen
学者___、見方が異なる。	ともなれば	にしてみれば	ともなると	ともなると = when it's a scholar	When scholar, perspective differs	[sound:9ffded53891d.mp3]	module:05-n1 jlpt:n1 register:literary point:にしてみれば pos:expr frequency:top10k complexity:standard source:shin-kanzen
