#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::02 - N4 Grammar::Contrast

音楽を聴き___、勉強する。vs 音楽を聴きながらも、集中できる。	ながら	ながらも	ながら	ながら = two neutral concurrent actions (while doing X, do Y); ながらも = concessive (even while X, still Y — implies unexpectedness)	ながら = concurrent; ながらも = yet/despite	[sound:1315988004bc.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:standard confusable-with:ながらも frequency:top1k source:shin-kanzen scaffold:pending-audio
歩き___、景色を楽しんだ。vs 歩きながらも、地図を見た。	ながら	ながらも	ながら	ながら = simultaneous neutral action (walking + enjoying); ながらも = concessive (even while walking, still needed a map)	ながら = while; ながらも = even while (implies effort)	[sound:4a2184439677.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:standard confusable-with:ながらも frequency:top5k source:shin-kanzen scaffold:pending-audio
泣き___、笑った。vs 泣きながらも、感謝していた。	ながら	ながらも	ながら	ながら = two simultaneous contrasting actions (crying while laughing); ながらも = despite crying, still feeling grateful	ながら = concurrent; ながらも = despite	[sound:110fcaf88ada.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:intro confusable-with:ながらも frequency:low source:shin-kanzen scaffold:pending-audio
迷い___、決断した。vs 迷いながらも、前進した。	ながら	ながらも	ながら	迷いながら = while hesitating (neutral simultaneous state); 迷いながらも = despite hesitating (emphasizes resistance or inner effort)	ながら = while; ながらも = despite	[sound:10020457a191.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:intro confusable-with:ながらも frequency:low source:shin-kanzen scaffold:pending-audio
話し___、食事する。vs 話しながらも、聞いていた。	ながら	ながらも	ながら	ながら = talking while eating (neutral concurrent activities); ながらも = even while talking, still actively listening (concessive — unexpected focus)	ながら = neutral concurrent; ながらも = concessive	[sound:0174305448fb.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:standard confusable-with:ながらも frequency:top1k source:shin-kanzen scaffold:pending-audio
苦労し___、目標を達成した。	ながら	つつ	ながら	ながら = two simultaneous actions; つつ = ongoing state + persistence.	ながら more common for concurrent actions.	[sound:9f0055dc9fb3.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:standard confusable-with:つつ frequency:low source:shin-kanzen
進み___も、完成していない。	つつ	ながら	つつ	つつ = persistence despite; ながら = simultaneous.	つつ adds concessive sense.	[sound:1ffe8dd38990.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:standard confusable-with:ながら frequency:low source:shin-kanzen
雨が降り___、試合が続いた。	ながら	つつ	ながら	ながら = two things happen together; つつ = something continues despite.	ながら neutral, つつ shows persistence.	[sound:0ed68f850a29.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:standard confusable-with:つつ frequency:top5k source:shin-kanzen
知り___も、黙っていた。	ながら	だけに	ながら	ながら = despite; だけに = precisely because.	Different meaning: ながら concessive, だけに causal.	[sound:de9c8ed4a9c0.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:intro confusable-with:だけに source:shin-kanzen
走り___、話している。	ながら	つつ	ながら	ながら = concurrent actions; つつ = something continues.	ながら for simultaneous actions.	[sound:f7cd0dea2bad.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:intro confusable-with:つつ frequency:top1k source:shin-kanzen
悩み___、決断した。	ながら	ながらも	ながら	ながら = while; ながらも = while still (emphatic).	ながらも adds emphasis.	[sound:106c232d12a4.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:intro confusable-with:ながらも frequency:low source:shin-kanzen
歩き___、電話する。	ながら	つつ	ながら	ながら = two concurrent actions; つつ = persistence.	ながら standard for 'while doing'.	[sound:b4a1c706a265.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:intro confusable-with:つつ frequency:top1k source:shin-kanzen
助言され___、進めた。	ながらも	ながら	ながらも	ながらも = despite advice; ながら = while receiving advice.	ながらも adds resistance.	[sound:3374c2bac707.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:intro confusable-with:ながら frequency:low source:shin-kanzen
増え___、足りない。	ながら	つつも	ながら	ながら = while increasing; つつも = increase continues but insufficient.	つつも stronger emphasis.	[sound:713abdd413fc.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:intro confusable-with:つつも source:shin-kanzen
若い時から、何度も試した。	時から	ながら	ながら	Compare: timing vs simultaneous.	ながら = while/concurrent; dual actions.	[sound:2ad7c32e841b.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:intro confusable-with:時から frequency:top10k source:shin-kanzen
勉強し___、バイトする。	ながら	つつ	ながら	ながら for dual concurrent activities.	ながら most common.	[sound:fa027f106856.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:intro confusable-with:つつ frequency:top1k source:shin-kanzen
雨が降りかけた___、止んだ。	かと思うと	とたんに	かと思うと	かと思うと emphasizes the immediate reversal.	かと思うと = rapid reversal; moment of change.	[sound:3f0e0dba2a67.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:standard confusable-with:とたんに frequency:top5k source:shin-kanzen
信号が変わった___、走り出した。	やいなや	かと思うと	やいなや	やいなや more formal/literary.	やいなや = instant response; formal/literary.	[sound:0b587d4a2bc9.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:standard confusable-with:かと思うと frequency:top10k source:shin-kanzen
試験を終わった___、疲れた。	とたんに	次第	とたんに	とたんに = immediate moment; 次第 = as soon as (dependent).	とたんに = moment of change; instant shift.	[sound:b4b85bd7a7a3.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:standard confusable-with:次第 frequency:top10k source:shin-kanzen
予定が決まり___、連絡します。	次第	たら	次第	次第 = formal/professional; たら = casual condition.	次第 = as soon as; dependent timing (formal).	[sound:de5f79df49fb.mp3]	module:02-n4 jlpt:n4 point:ながら complexity:standard confusable-with:たら frequency:top10k source:shin-kanzen
