#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#
#deck:Japanese Grammar (Strict)::02 - N4 Grammar::Cloze

実は私{{c1::は}}学生です。	じつはわたし{{c1::は}}がくせいです。	は (topic marker); contrasts with other entities	[sound:4def28d0fa35.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top10k source:curated-jpgram source:shin-kanzen
私{{c1::が}}好きです。	わたし{{c1::が}}すきです。	が (subject of 好き); 'I like ~' structure	[sound:ea419e596fbb.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
コーヒー{{c1::が}}好きです。	こーひー{{c1::が}}すきです。	が (object of 好き); marks the liked thing	[sound:e874ff2500aa.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
学校{{c1::へ}}行きます。	がっこう{{c1::へ}}いきます。	へ (destination of motion) = に	[sound:1c6cc033d32b.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top10k source:curated-jpgram source:shin-kanzen
学校{{c1::に}}います。	がっこう{{c1::に}}います。	に (location of existence); also destination	[sound:a996cebde60b.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
本{{c1::を}}読みます。	ほん{{c1::を}}よみます。	を (direct object); marks what is done to	[sound:18fa3c1db17d.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top10k source:curated-jpgram source:shin-kanzen
水{{c1::を}}飲む。	みず{{c1::を}}のむ。	を (direct object); marks liquid being drunk	[sound:7f2d88cadd97.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
ペン{{c1::で}}書きます。	ぺん{{c1::で}}かきます。	で (tool/instrument); means 'with'	[sound:eaaf9e121ccd.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
電車{{c1::で}}行く。	でんしゃ{{c1::で}}いく。	で (transportation); marks method of travel	[sound:0cc2205d6c07.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
友達{{c1::と}}遊ぶ。	ともだち{{c1::と}}あそぶ。	と (with/together); marks companion	[sound:bf6c01f2cef8.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
兄{{c1::と}}妹。	あに{{c1::と}}いもうと。	と (and/with); lists two people together	[sound:a6cc87bb4042.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
りんご{{c1::と}}みかん。	りんご{{c1::と}}みかん。	と (and); lists items in a set	[sound:d8867fb0c04e.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro source:curated-jpgram source:shin-kanzen
田中さん{{c1::から}}もらった。	たなかさん{{c1::から}}もらった。	から (from); marks source/origin	[sound:ec2b29935b7e.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top10k source:curated-jpgram source:shin-kanzen
月曜日{{c1::から}}始まる。	げつようび{{c1::から}}はじまる。	から (from/since); marks starting point in time	[sound:e1f73aa963b2.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
先生{{c1::に}}質問する。	せんせい{{c1::に}}しつもんする。	に (to/dative); marks target/recipient	[sound:c0088e8775d9.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
子供{{c1::に}}教える。	こども{{c1::に}}おしえる。	に (to); marks person being taught	[sound:50623359dcfa.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
明日{{c1::の}}朝。	あした{{c1::の}}あさ。	の (possessive/attributive); links noun + noun	[sound:28c4fffab206.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
私{{c1::の}}家。	わたし{{c1::の}}いえ。	の (possessive); marks ownership	[sound:60e1e8f098d2.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
毎日{{c1::の}}勉強。	まいにち{{c1::の}}べんきょう。	の (routine); links repeated action to object	[sound:40613d472fe5.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
山田さん{{c1::も}}来ました。	やまださん{{c1::も}}きました。	も (also/too); marks additional item	[sound:6b9aebf4601a.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top10k source:curated-jpgram source:shin-kanzen
私{{c1::も}}学生です。	わたし{{c1::も}}がくせいです。	も (also); marks additional identity	[sound:8a8edeac7df3.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
実は誰{{c1::も}}来ません。	じつはだれ{{c1::も}}きません。	も (not…anyone); with negative = 'nobody'	[sound:6ad79c6eb4fd.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top10k source:curated-jpgram source:shin-kanzen
日本{{c1::の}}文化。	にっぽん{{c1::の}}ぶんか。	の (of); indicates domain/category	[sound:3b3ec6d0a05f.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top10k source:curated-jpgram source:shin-kanzen
去年{{c1::は}}行きませんでした。	きょねん{{c1::は}}いきませんでした。	は (contrast in past); 'last year I didn't (but maybe other times)'	[sound:bfb065350e62.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top10k source:curated-jpgram source:shin-kanzen
兄{{c1::は}}医者で、弟{{c1::は}}学生だ。	あに{{c1::は}}いしゃで、おとうと{{c1::は}}がくせいだ。	は (contrast); lists different subjects with は	[sound:4fcc92d4a268.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
田中さん{{c1::へ}}手紙を送った。	たなかさん{{c1::へ}}てがみをおくった。	へ (to person as destination); directional sense	[sound:f3d05c65114a.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top10k source:curated-jpgram source:shin-kanzen
一人{{c1::で}}できる。	ひとり{{c1::で}}できる。	で (by one's self); marks manner/condition	[sound:731bfe4a03bf.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
冷たい{{c1::か}}温かい{{c1::か}}？	つめたい{{c1::か}}あたたかい{{c1::か}}？	か (or/question); marks alternatives	[sound:bd25f1beec1c.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top10k source:curated-jpgram source:shin-kanzen
何{{c1::を}}食べたい？	なに{{c1::を}}たべたい？	を (direct object); marks desired object	[sound:a726650f2f7f.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
私{{c1::に}}手紙をくれた。	わたし{{c1::に}}てがみをくれた。	に (dative); marks recipient of gift	[sound:a021c3e0b885.mp3]	module:02-n4 jlpt:n4 point:まで complexity:intro frequency:top1k source:curated-jpgram source:shin-kanzen
