#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::02 - N4 Grammar::Contrast

雨が降れば、___ vs 降ると、___。	れば	ると	れば	ば = hypothetical generalization	ば = open-ended if	[sound:bcfc0d909786.mp3]	module:02-n4 jlpt:n4 point:ば frequency:top1k complexity:standard confusable-with:ると source:shin-kanzen sense:conditionals
毎日走___、体が強くなります。vs 毎日走ると、強くなります。	れば	ると	れば	ば = general habit-consequence (run regularly → get stronger); と = automatic universal result (run → always tired)	ば = repeated condition; と = natural law	[sound:cd8e73db0475.mp3]	module:02-n4 jlpt:n4 point:ば frequency:low complexity:advanced confusable-with:ると source:shin-kanzen sense:conditionals scaffold:pending-audio
お金があれば、旅行に___vs あったら、旅行に___。	れば	たら	れば	ば = open hypothetical	ば = state condition	[sound:f7ba5f8f117e.mp3]	module:02-n4 jlpt:n4 point:ば frequency:top10k complexity:standard confusable-with:たら source:shin-kanzen sense:conditionals
忙し___、休んでください。vs 忙しいなら、休んでください。	ければ	なら	ければ	ば = open hypothetical (if ever busy, please rest); なら = topic-based (given you're already busy, please rest)	ば = generic if; なら = given-that	[sound:5a34f2ded6d8.mp3]	module:02-n4 jlpt:n4 point:ば frequency:top1k complexity:advanced confusable-with:なら source:shin-kanzen sense:conditionals scaffold:pending-audio
走___、疲れます。vs 走るなら、疲れます。	れば	なら	れば	ば = open hypothetical consequence (running → tiring, generally); なら = topic-based reasoning (if running is your plan, then...)	ば = open if; なら = given-that	[sound:9888e09c7522.mp3]	module:02-n4 jlpt:n4 point:ば frequency:top10k complexity:standard confusable-with:なら source:shin-kanzen sense:conditionals scaffold:pending-audio
毎日勉強す___、上手になります。vs 毎日勉強したら、上手になります。	れば	たら	れば	ば = general habit-consequence (study regularly → improve, as a rule); たら = event trigger (once you've studied → then you'll improve)	ば = generic law; たら = event trigger	[sound:cc4b6b401282.mp3]	module:02-n4 jlpt:n4 point:ば frequency:top1k complexity:advanced confusable-with:したら source:shin-kanzen sense:conditionals scaffold:pending-audio confusable-with:たら
値段が安___、買うかも。vs 安かったら、買うかも。	ければ	かったら	ければ	ば = open state hypothesis (if it ever happens to be cheap); たら = once/when the condition is met (when it turns out to be cheap)	ければ = generic if; かったら = discovery conditional	[sound:e1f90f4ca7fa.mp3]	module:02-n4 jlpt:n4 point:ば frequency:top5k complexity:standard confusable-with:かったら source:shin-kanzen sense:conditionals scaffold:pending-audio
水を熱す___、沸きます。vs 水を熱したら、沸きました。	れば	たら	れば	ば = scientific/logical law (heat water → always boils, by nature); たら = after the event (once you heated it → it boiled, past action)	ば = natural law; たら = after doing	[sound:0889e0becc06.mp3]	module:02-n4 jlpt:n4 point:ば frequency:top5k complexity:standard confusable-with:したら source:shin-kanzen sense:conditionals scaffold:pending-audio confusable-with:たら
そうであ___、賛成です。vs そうなら、賛成です。	れば	なら	れば	ば = open hypothetical (if that turns out to be the case); なら = topic-based (given that that's the situation you're in)	ば = open if; なら = given-that	[sound:d1e1d87b70db.mp3]	module:02-n4 jlpt:n4 point:ば frequency:top10k complexity:intro confusable-with:なら source:shin-kanzen sense:conditionals scaffold:pending-audio complexity:standard
天気がよ___、ハイキングに行きましょう。vs 天気がよかったら、行きましょう。	ければ	かったら	ければ	ば = open hypothetical invitation (if the weather is good at all); たら = discovery conditional (when it turns out to be good weather → then let's go)	ければ = open hypothetical; かったら = discovery conditional	[sound:d8e21c40aaa8.mp3]	module:02-n4 jlpt:n4 point:ば frequency:top10k complexity:standard confusable-with:たら source:shin-kanzen sense:conditionals scaffold:pending-audio complexity:advanced confusable-with:かったら
