#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::02 - N4 Grammar::Production

I will go to the store.	店に行こう。	みせにいこう。	I will go to the store.	volitional intention with よう	[sound:8d3b7a982656.mp3]	module:02-n4 jlpt:n4 register:neutral point:volitional pos:expr complexity:standard source:shin-kanzen
Let's have coffee together.	一緒にコーヒーを飲みましょう。	いっしょにこーひーをのみましょう。	Let's have coffee together.	polite suggestion with ましょう	[sound:b50d25b7de07.mp3]	module:02-n4 jlpt:n4 register:neutral point:volitional pos:expr complexity:standard source:shin-kanzen
I'm thinking of studying abroad.	留学しようと思う。	りゅうがくしようとおもう。	I'm thinking of studying abroad.	intention expression with ようと思う	[sound:138124130ed4.mp3]	module:02-n4 jlpt:n4 register:neutral point:volitional pos:expr complexity:advanced source:shin-kanzen
I plan to graduate next year.	来年卒業するつもりです。	らいねんそつぎょうするつもりです。	I plan to graduate next year.	firm plan with つもり	[sound:ed136790db18.mp3]	module:02-n4 jlpt:n4 register:neutral point:volitional pos:expr complexity:standard source:shin-kanzen
We will try our best.	全力を尽くそう。	ぜんりょくをつくそう。	We will try our best.	collective determination	[sound:14f63b1e5af3.mp3]	module:02-n4 jlpt:n4 register:neutral point:volitional pos:expr complexity:standard source:shin-kanzen
Let's start the meeting.	会議を始めましょう。	かいぎをはじめましょう。	Let's start the meeting.	polite proposal	[sound:29d067e1de2c.mp3]	module:02-n4 jlpt:n4 register:neutral point:volitional pos:expr complexity:standard source:shin-kanzen
I intend to finish by Friday.	金曜日までに終わらせるつもりだ。	きんようびまでにおわらせるつもりだ。	I intend to finish by Friday.	clear intention	[sound:4ac0c23e6588.mp3]	module:02-n4 jlpt:n4 register:neutral point:volitional pos:expr complexity:standard source:shin-kanzen
I'm going to call my mother.	母に電話しようと思っています。	ははにでんわしようとおもっています。	I'm going to call my mother.	planned action	[sound:3d1394de1d49.mp3]	module:02-n4 jlpt:n4 register:neutral point:volitional pos:expr complexity:standard source:shin-kanzen
Shall we go to the beach?	ビーチに行きましょうか。	びーちにいきましょうか。	Shall we go to the beach?	polite question suggestion	[sound:c0466b193578.mp3]	module:02-n4 jlpt:n4 register:neutral point:volitional pos:expr complexity:standard source:shin-kanzen
I plan to change jobs next month.	来月仕事を変えるつもりです。	らいげつしごとをかえるつもりです。	I plan to change jobs next month.	definite plan	[sound:443e0e96f804.mp3]	module:02-n4 jlpt:n4 register:neutral point:volitional pos:expr complexity:advanced source:shin-kanzen
