#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::02 - N4 Grammar::Recognition
#
今、勉強しています。	いま、べんきょうしています。	Right now, I'm studying.	Progressive action	V-て + いる	Action happening right now	Right now context	-てある (resultative)	[sound:f9a64dc3c228.mp3]	
猫が庭で遊んでいます。	ねこがにわであそんでいます。	The cat is playing in the garden.	Progressive action	V-て + いる	Ongoing motion or action	Animal + garden	-てある (resultative)	[sound:c27f7ae2e56b.mp3]	
今、雨が降っています。	あめがふっています。	It is raining.	Progressive weather	V-て + いる	Weather phenomenon in progress	Weather verb	-てある (resultative)	[sound:107448f23486.mp3]	
彼は今、走っています。	かれはいま、はしっています。	He is running now.	Progressive motion	V-て + いる	Active motion happening	Sports/movement	-てある (resultative)	[sound:01ea21f88370.mp3]	
玄関の窓が開いています。	まどがあいています。	The window is open.	Resultative state	V-て + いる	State from completed action	Position state	-てある (resultative)	[sound:be020b837d6e.mp3]	
兄は結婚しています。	かれはけっこんしています。	He is married.	Resultative state	V-て + いる	Current state from past action	Life status	-てある (resultative)	[sound:5385f6b5092e.mp3]	
目が腫れています。	めがはれています。	My eyes are swollen.	Resultative state	V-て + いる	Result of prior condition	Physical state	-てある (resultative)	[sound:291ac9d50be6.mp3]	
毎日、走っています。	まいにち、はしっています。	Every day, I run.	Habitual action	V-て + いる	Repeated daily action	Frequency marker	-てある (resultative)	[sound:6e9ee684feae.mp3]	
毎週、映画を見ています。	まいしゅう、えいがをみています。	Every week, I watch movies.	Habitual action	V-て + いる	Regular weekly habit	Weekly frequency	-てある (resultative)	[sound:722917416447.mp3]	
彼は毎朝、新聞を読んでいます。	かれはまいあさ、しんぶんをよんでいます。	Every morning, he reads the newspaper.	Habitual action	V-て + いる	Daily morning routine	Morning ritual	-てある (resultative)	[sound:26d8391d1b7d.mp3]	
食事が準備されています。	しょくじがじゅんびされています。	The meal is prepared.	State from prior prep	V-て + ある	Action done, state persists	Meal ready	-ている (resultative)	[sound:521f6f994619.mp3]	
壁に絵が掛けてあります。	かべにえがかけてあります。	A picture is hung on the wall.	State from prior hanging	V-て + ある	Someone hung it, it stays	Decoration	-ている (resultative)	[sound:a7835016f3be.mp3]	
電気がつけてあります。	でんきがつけてあります。	The light is turned on.	State from prior turning on	V-て + ある	Someone turned it on, result persists	Light status	-ている (resultative)	[sound:7d2ec804e429.mp3]	
ドアが開けてあります。	どあがあけてあります。	The door is left open.	State from prior opening	V-て + ある	Intentionally opened, staying open	Door state	-ている (resultative)	[sound:277d8497862e.mp3]	
メモが貼ってあります。	めもがはってあります。	A memo is pasted.	State from prior pasting	V-て + ある	Someone posted it, stays there	Message placement	-ている (resultative)	[sound:52d88cd17234.mp3]	
お金が銀行に預けてあります。	おかねがぎんこうにあずけてあります。	The money is deposited in the bank.	State from prior deposit	V-て + ある	Deliberately placed, remains	Savings	-ている (resultative)	[sound:46f9368f5bc0.mp3]	
水が入れてあります。	みずがいれてあります。	Water is poured in.	State from prior pouring	V-て + ある	Someone filled it, water stays	Liquid state	-ている (resultative)	[sound:55c5233c3bab.mp3]	
靴が脱いであります。	くつがぬいであります。	The shoes are taken off.	State from prior removal	V-て + ある	Removed and left as state	Shoe arrangement	-ている (resultative)	[sound:381dd9c1fec8.mp3]	
声が出してあります。	こえがだしてあります。	The sound is on/turned up.	State from prior activation	V-て + ある	Sound intentionally activated	Audio state	-ている (resultative)	[sound:fe3703daac34.mp3]	
荷物が隅に置いてあります。	にもつがすみにおいてあります。	The luggage is placed in the corner.	State from prior placing	V-て + ある	Deliberately positioned	Item placement	-ている (resultative)	[sound:8e61c7b36634.mp3]	
試験の前に、勉強しておきました。	しけんのまえに、べんきょうしておきました。	Before the exam, I studied in advance.	Preparation for future	V-て + おく	Done ahead of time	Exam prep	-てしまう (completion+regret)	[sound:eed24bb50757.mp3]	
冬の前に、暖房を準備しておきます。	ふゆのまえに、だんぼうをじゅんびしておきます。	Before winter, I'll prepare heating in advance.	Preventive preparation	V-て + おく	Get ready before need	Winter prep	-てしまう (completion+regret)	[sound:e77709f65e4c.mp3]	
出かける前に、鍵を確認しておきましょう。	でかけるまえに、かぎをかくにんしておきましょう。	Before leaving, let's check the key in advance.	Safety precaution	V-て + おく	Verify beforehand	Door security	-てしまう (completion+regret)	[sound:823055084d6c.mp3]	
会議で使う資料を、用意しておきました。	かいぎでつかうしりょうを、よういしておきました。	I prepared the materials to use in the meeting beforehand.	Professional preparation	V-て + おく	Ready for upcoming use	Meeting prep	-てしまう (completion+regret)	[sound:5382fb1d58d6.mp3]	
誕生日のプレゼント、買っておきました。	たんじょうびのぷれぜんと、かっておきました。	For the birthday, I bought the gift in advance.	Advance shopping	V-て + おく	Pre-purchase for future	Gift preparation	-てしまう (completion+regret)	[sound:a4b41fd78a39.mp3]	
