#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::02 - N4 Grammar::Cloze


ドアが{{c1::開いた}}。	どあが{{c1::ひらいた}}。	intransitive door opened	[sound:d108b8a2b88e.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top1k complexity:intro source:shin-kanzen
彼がドアを{{c1::開けた}}。	かれがどあを{{c1::ひらけた}}。	transitive he opened door	[sound:41c2c62cf829.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top5k complexity:intro source:shin-kanzen
窓が{{c1::閉まった}}。	まどが{{c1::しまった}}。	intransitive window closed	[sound:4d4c2511570e.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top1k complexity:intro source:shin-kanzen
誰かが窓を{{c1::閉めた}}。	だれかがまどを{{c1::しめた}}。	transitive someone closed window	[sound:024671ada341.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top1k complexity:intro source:shin-kanzen
映画が{{c1::始まった}}。	えいがが{{c1::はじまった}}。	intransitive movie started	[sound:07888841f640.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top1k complexity:intro source:shin-kanzen
先生が授業を{{c1::始めた}}。	せんせいがじゅぎょうを{{c1::はじめた}}。	transitive teacher started class	[sound:2a1bb87896bf.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top1k complexity:intro source:shin-kanzen
会議が{{c1::終わった}}。	かいぎが{{c1::おわった}}。	intransitive meeting ended	[sound:596304e9201b.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top5k complexity:intro source:shin-kanzen
彼が仕事を{{c1::終えた}}。	かれがしごとを{{c1::おえた}}。	transitive he finished work	[sound:bf999b7f1dd4.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top5k complexity:intro source:shin-kanzen
鍵が{{c1::見つかった}}。	かぎが{{c1::みつかった}}。	intransitive key was found	[sound:983765c300d2.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top1k complexity:intro source:shin-kanzen
私が鍵を{{c1::見つけた}}。	わたしがかぎを{{c1::みつけた}}。	transitive I found key	[sound:141f7b41a6b3.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top1k complexity:intro source:shin-kanzen
子どもが部屋から{{c1::出た}}。	こどもがへやから{{c1::でた}}。	intransitive child left room	[sound:b021be0a1f40.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top10k complexity:intro source:shin-kanzen
彼が荷物を{{c1::出した}}。	かれがにもつを{{c1::だした}}。	transitive he took out baggage	[sound:13767c80d842.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top10k complexity:intro source:shin-kanzen
水が瓶に{{c1::入った}}。	みずがかめに{{c1::いっった}}。	intransitive water entered bottle	[sound:27b3219e5b95.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top10k complexity:intro source:shin-kanzen
彼が水を瓶に{{c1::入れた}}。	かれがみずをかめに{{c1::いれた}}。	transitive he poured water	[sound:3ef18a50b974.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top10k complexity:intro source:shin-kanzen
値段が{{c1::上がった}}。	ねだんが{{c1::あがった}}。	intransitive price rose	[sound:719222b43a83.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top5k complexity:intro source:shin-kanzen
店が値段を{{c1::上げた}}。	みせがねだんを{{c1::あげた}}。	transitive store raised price	[sound:e928700eba06.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top5k complexity:intro source:shin-kanzen
気温が{{c1::下がった}}。	きおんが{{c1::さがった}}。	intransitive temperature fell	[sound:287d4b6a9ce2.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top10k complexity:intro source:shin-kanzen
彼が手を{{c1::下げた}}。	かれがてを{{c1::さげた}}。	transitive he lowered hand	[sound:c3e0524a4775.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top5k complexity:intro source:shin-kanzen
火が{{c1::消えた}}。	ひが{{c1::きえた}}。	intransitive fire went out	[sound:2191aa5ed638.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top5k complexity:intro source:shin-kanzen
私がライトを{{c1::消した}}。	わたしがらいとを{{c1::けした}}。	transitive I turned off light	[sound:56a772c518e7.mp3]	module:02-n4 jlpt:n4 point:transitive-intransitive frequency:top1k complexity:intro source:shin-kanzen
