#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::07 - Casual::Recognition
#
毎日走っている。	まいにちはしっている。	Run every day (current state).	Progressive aspect	〜ている	Continuous action	Habitual or ongoing	〜ている (formal)	[sound:16977b5faa3e.mp3]	module:07-casual point:aspectual-contractions
今、メール送ってる。	いま、めーるおくってる。	Sending email right now.	Casual progressive	〜てる	Quick mention	Contracted form	〜ている	[sound:c52bb8fe897a.mp3]	module:07-casual point:aspectual-contractions
そろそろ行ってく。	そろそろいってく。	I'm heading out soon.	Casual departure	〜ていく	Leave/progress forward	Casual form	〜ていく (formal)	[sound:51ee6a1ba099.mp3]	module:07-casual point:aspectual-contractions
話していくね。	はなしていくね。	I'll talk through this with you.	Unfolding narrative	〜ていく	Continuous progress	Polite casual	〜ていく (formal)	[sound:7501810e7f5f.mp3]	module:07-casual point:aspectual-contractions
資料置いときます。	しりょうおいときます。	I'll put the document here.	Preparatory action	〜ておく	Done in advance	Contracted/casual	〜ておく (formal)	[sound:4ed323f7af0e.mp3]	module:07-casual point:aspectual-contractions
先生に聞いといた。	せんせいにきいといた。	Asked the teacher beforehand.	Past preparatory	〜ておく	Prior arrangement	Contracted/casual	〜ておく (formal)	[sound:53ac629bc8b5.mp3]	module:07-casual point:aspectual-contractions
それ、ほんまやん。	それ、ほんままたはそれ、ほんまや。	That's really true!	Kansai confirmation	〜や	Kansai assertion	Kansai dialect	〜だ	[sound:364839a13e10.mp3]	module:07-casual point:aspectual-contractions
関西弁だからって言うてる。	かんさいべんだからっていうてる。	Saying it's Kansai dialect.	Kansai progressive	〜てる (Kansai)	Kansai continuous	Kansai form	〜ている	[sound:1ce7f3242ced.mp3]	module:07-casual point:aspectual-contractions
もう帰っちゃった。	もうかえっちゃった。	Already went home.	Completed action (regret)	〜ちゃう	Unplanned completion	Regretful tone	〜ちゃった	[sound:6e2061841057.mp3]	module:07-casual point:aspectual-contractions
あ、話しちゃった。	あ、はなしちゃった。	Oh, I spilled the secret.	Accidental disclosure	〜ちゃう	Unintended consequence	Regret	〜てしまう	[sound:697beb789210.mp3]	module:07-casual point:aspectual-contractions
それ、やっちゃおう。	それ、やっちゃおう。	Let's just do it.	Casual suggestion	〜ちゃう	Reckless action	Casual command	〜ちゃおう	[sound:511262257862.mp3]	module:07-casual point:aspectual-contractions
子供が食べちゃった。	こどもがたべちゃった。	The child ate it (all up).	Depletion	〜ちゃう	Eaten/finished	Casual narrative	〜てしまう	[sound:ae6999a93487.mp3]	module:07-casual point:aspectual-contractions
壊しちゃったよ。	こわしちゃったよ。	Broke it!	Regretful admission	〜ちゃう	Oops tone	Casual apology	〜てしまった	[sound:a5108417e345.mp3]	module:07-casual point:aspectual-contractions
雨降っちゃった。	あめふっちゃった。	It rained (unexpectedly).	Unforeseen event	〜ちゃう	Natural occurrence	Casual observation	〜てしまった	[sound:b1e10542f1b0.mp3]	module:07-casual point:aspectual-contractions
もう連絡じゃったよ。	もうれんらくじゃったよ。	Already contacted (them).	Completed communication (Kansai-like)	〜じゃう	Contraction with だ	Regional variation	〜でしまう	[sound:e69b354ccaf2.mp3]	module:07-casual point:aspectual-contractions
間に合わなくちゃ。	まにあわなくちゃ。	Have to make it in time.	Obligation with regret	〜ちゃう (obligation)	Necessity tone	Casual urgency	〜なくては	[sound:e33e1a9f16f5.mp3]	module:07-casual point:aspectual-contractions
頑張らなくちゃ。	がんばらなくちゃ。	Have to do my best.	Self-exhortation	〜ちゃう (obligation)	Determination	Casual motivation	〜なくては	[sound:f414c7d83c89.mp3]	module:07-casual point:aspectual-contractions
笑っちゃった。	わらっちゃった。	Couldn't help but laugh.	Involuntary action	〜ちゃう	Uncontrollable response	Casual delight	〜てしまう	[sound:ebba06f7c779.mp3]	module:07-casual point:aspectual-contractions
あ、忘れちゃった。	あ、わすれちゃった。	Oh, I forgot!	Honest admission	〜ちゃう	Memory lapse	Casual embarrassment	〜てしまった	[sound:e5be3bfb5619.mp3]	module:07-casual point:aspectual-contractions
もう終わっちゃった。	もうおわっちゃった。	Already finished.	Complete termination	〜ちゃう	Done tone	Casual finality	〜てしまった	[sound:a538bba60528.mp3]	module:07-casual point:aspectual-contractions
本当にやっちゃった。	ほんとうにやっちゃった。	Actually did it!	Surprising completion	〜ちゃう	Amazement	Casual shock	〜てしまった	[sound:23428907c162.mp3]	module:07-casual point:aspectual-contractions
逃げじゃったな。	にげじゃったな。	Ran away, huh.	Past escape (poetic/archaic)	〜じゃう	Archaic progressive	Regional/old form	〜でしまった	[sound:5fcb14b75956.mp3]	module:07-casual point:aspectual-contractions
また降っちゃった。	またふっちゃった。	It rained again.	Repetitive disappointment	〜ちゃう	Recurring event	Casual lament	〜てしまった	[sound:faa71649ea96.mp3]	module:07-casual point:aspectual-contractions
持ってくね。	もってくね。	I'll bring it with me.	Future action	〜てく	Taking along	Casual promise	〜ていく	[sound:7ba01ffbce39.mp3]	module:07-casual point:aspectual-contractions
