#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::07 - Casual / Spoken Forms::Recognition
#
毎日〜ているている。		〜てる is the casual contracted form.	contrast-derived	〜ている	〜てる is the casual contracted form.	Common in natural spoken Japanese.	〜てる vs 〜ている	[sound:39ee2e1d87dd.mp3]	module:07-casual point:casual complexity:intro confusable-with:てる frequency:top1k source:imabi
今、メール送ってる。		〜てる is the natural casual form in conversation.	contrast-derived	送ってる	〜てる is the natural casual form in conversation.	Shorter and more conversational.	送ってる vs 送っている	[sound:c52bb8fe897a.mp3]	module:07-casual point:casual complexity:intro confusable-with:送っている frequency:top1k source:imabi
勉強しなきゃ。		〜なきゃ is casual; 〜なければ is formal.	contrast-derived	しなきゃ	〜なきゃ is casual; 〜なければ is formal.	Casual speech strongly prefers the contraction.	しなきゃ vs しなければ	[sound:8e26c7ca1c7f.mp3]	module:07-casual point:casual complexity:intro confusable-with:しなければ frequency:top1k source:imabi
終わらなくちゃ。		Both express obligation; 〜なくちゃ is more casual.	contrast-derived	なくちゃ	Both express obligation; 〜なくちゃ is more casual.	Natural in everyday conversation.	なくちゃ vs なくては	[sound:5c287c25c261.mp3]	module:07-casual point:casual complexity:intro confusable-with:なくては source:imabi
来るだろ？		〜だろ is masculine/casual; 〜でしょ is polite.	contrast-derived	だろ	〜だろ is masculine/casual; 〜でしょ is polite.	Rougher tone with men; soft with women.	だろ vs でしょ	[sound:b91c6972ddca.mp3]	module:07-casual point:casual complexity:intro confusable-with:でしょ frequency:top1k source:imabi
来るでしょ？		〜でしょ is polite/inclusive; 〜だろ is rough.	contrast-derived	でしょ	〜でしょ is polite/inclusive; 〜だろ is rough.	Includes the listener in speculation.	でしょ vs だろ	[sound:ec61de50cf14.mp3]	module:07-casual point:casual complexity:intro confusable-with:だろ frequency:top1k source:imabi
それ、違うじゃん。		〜じゃん is casual contradiction.	contrast-derived	じゃん	〜じゃん is casual contradiction.	Informal way to challenge statements.	じゃん vs じゃない	[sound:bc347dacc4b9.mp3]	module:07-casual point:casual complexity:intro confusable-with:じゃない frequency:top1k source:imabi
違いますか？		Formal negation form.	contrast-derived	じゃない	Formal negation form.	Standard negation form.	じゃない vs じゃん	[sound:e54c53abb20a.mp3]	module:07-casual point:casual complexity:intro confusable-with:じゃん frequency:top10k source:imabi
来たんだ。		〜んだ is casual explanation.	contrast-derived	だ	〜んだ is casual explanation.	Natural in conversation.	だ vs です	[sound:06ce9562c268.mp3]	module:07-casual point:casual complexity:intro confusable-with:です frequency:top10k source:imabi
来たんだ。		〜んだ is casual; 〜のだ is more emphatic.	contrast-derived	んだ	〜んだ is casual; 〜のだ is more emphatic.	Contracted form is more natural.	のだ vs んだ	[sound:06ce9562c268.mp3]	module:07-casual point:casual complexity:intro confusable-with:のだ frequency:top10k source:imabi
行ったの？		〜の？ is gentle inquiry (replacement).	contrast-derived	いったの	〜の？ is gentle inquiry (replacement).	Softer, more conversational.	いったの vs いったんですか	[sound:da2c05e7bff0.mp3]	module:07-casual point:casual complexity:intro confusable-with:いったんですか source:imabi
面倒くさいし。		〜し is casual reason listing.	contrast-derived	し	〜し is casual reason listing.	Trailing justification in speech.	し vs から	[sound:30a8a4c7b220.mp3]	module:07-casual point:casual complexity:intro confusable-with:から frequency:top10k source:imabi
大丈夫よ。		〜よ is casual assertion.	contrast-derived	よ	〜よ is casual assertion.	Emphatic tone in everyday speech.	よ vs です	[sound:64f11ec939a9.mp3]	module:07-casual point:casual complexity:intro confusable-with:です frequency:top1k source:imabi
行くよ。		〜よ is casual emphasis.	contrast-derived	よ	〜よ is casual emphasis.	Informal commitment in conversation.	よ vs です	[sound:6b46d91141c9.mp3]	module:07-casual point:casual complexity:intro confusable-with:です frequency:top1k source:imabi
何してんの？		〜の？ is gentle inquiry.	contrast-derived	の	〜の？ is gentle inquiry.	Natural casual questioning.	の vs ですか	[sound:95038104f997.mp3]	module:07-casual point:casual complexity:intro confusable-with:ですか frequency:top1k source:imabi
ん？		〜ん？ is casual confirmation.	contrast-derived	ん	〜ん？ is casual confirmation.	Quick check in conversation.	ん vs ですか	[sound:612f6299e08c.mp3]	module:07-casual point:casual complexity:intro confusable-with:ですか source:imabi
来てくれたわ。		〜わ is feminine assertion.	contrast-derived	わ	〜わ is feminine assertion.	Female speech tendency.	わ vs です	[sound:452769db1db8.mp3]	module:07-casual point:casual complexity:intro confusable-with:です frequency:top10k source:imabi
好きよ。		〜よ is casual emphasis.	contrast-derived	よ	〜よ is casual emphasis.	Emphatic and informal.	よ vs です	[sound:01c0374ef1ce.mp3]	module:07-casual point:casual complexity:intro confusable-with:です frequency:top1k source:imabi
楽しかったわ。		〜わ is feminine speech marker.	contrast-derived	わ	〜わ is feminine speech marker.	Female speech tendency.	わ vs です	[sound:e6c747308ea6.mp3]	module:07-casual point:casual complexity:intro confusable-with:です frequency:top10k source:imabi
毎日走って行く。		〜ってく vs 〜ていく (replacement).	contrast-derived	ってく	〜ってく vs 〜ていく (replacement).	Natural contracted form.	ってく vs ていく	[sound:625c4ea414bc.mp3]	module:07-casual point:casual complexity:intro confusable-with:ていく frequency:top1k source:imabi
肉、全部食べちゃった。		〜ちゃった is casual contraction.	contrast-derived	ちゃった	〜ちゃった is casual contraction.	Regretful completion in speech.	ちゃった vs てしまった	[sound:159e27d4f02d.mp3]	module:07-casual point:casual complexity:intro confusable-with:てしまった frequency:top1k source:imabi
もう終わっちゃった。		Casual contracted form.	contrast-derived	ちゃった	Casual contracted form.	Natural in conversation.	ちゃった vs てしまった	[sound:a538bba60528.mp3]	module:07-casual point:casual complexity:intro confusable-with:てしまった source:imabi
雨が降っちゃった。		Casual contraction of unexpected event.	contrast-derived	っちゃった	Casual contraction of unexpected event.	Natural progression of events.	っちゃった vs ってしまった	[sound:8e54b51ef130.mp3]	module:07-casual point:casual complexity:intro confusable-with:ってしまった frequency:top1k source:imabi
来たんだ？		〜んだ is casual form.	contrast-derived	だ	〜んだ is casual form.	Natural in conversation.	だ vs です	[sound:53107dca4d41.mp3]	module:07-casual point:casual complexity:intro confusable-with:です frequency:top10k source:imabi
関西人や。		〜や is Kansai form.	contrast-derived	や	〜や is Kansai form.	Regional variation.	や vs だ	[sound:8ea29121788c.mp3]	module:07-casual point:casual complexity:intro confusable-with:だ frequency:low source:imabi
可愛いやん。		〜やん is Kansai assertion marker.	contrast-derived	やん	〜やん is Kansai assertion marker.	Kansai assertion marker.	やん vs だ	[sound:5f4467e1d30f.mp3]	module:07-casual point:casual complexity:intro confusable-with:だ frequency:top1k source:imabi
違うやねん。		〜やねん is Kansai negation.	contrast-derived	やねん	〜やねん is Kansai negation.	Regional negation style.	やねん vs じゃない	[sound:c8e347cae3ab.mp3]	module:07-casual point:casual complexity:intro confusable-with:じゃない frequency:top1k source:imabi
