#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::11 - Classical::Cloze
古典文では{{c1::ぬ}}は現代のないと同じ意味である	こてんぶんでは{{c1::ぬ}}はげんだいのないとおなじいみである	古典否定形	[sound:16dcd3a65147.mp3]	module:11-classical point:classical
{{c1::べし}}は義務や推量を表す古い助動詞	{{c1::べし}}はぎむやすいりょうをあらわすふるいじょどうし	古典当為・推量	[sound:2f2f21a4218b.mp3]	module:11-classical point:classical
{{c1::そうろう}}は古典で敬語的な述語	{{c1::そうろう}}はこてんでけいごてきなじゅつご	古典敬語述語	[sound:46bc1449cd8c.mp3]	module:11-classical point:classical
{{c1::ん}}は意志や推測を表す古典形	{{c1::ん}}はいしやすいそくをあらわすこてんかたち	古典意志・推測	[sound:5cfb08200e32.mp3]	module:11-classical point:classical
{{c1::ざり}}は古い否定完了形	{{c1::ざり}}はふるいひていかんりょうかたち	古典否定過去	[sound:cf2704c24b47.mp3]	module:11-classical point:classical
{{c1::たり}}は古い完了形で、現代では{{c1::た}}に相当する	{{c1::たり}}はふるいかんりょうかたちで、げんだいでは{{c1::た}}にそうとうする	古典完了形	[sound:334dadb7cbdc.mp3]	module:11-classical point:classical
{{c1::あらず}}は古い存在否定で、{{c1::ではない}}と同じ	{{c1::あらず}}はふるいそんざいひていで、{{c1::ではない}}とおなじ	古典存在否定	[sound:69f9c672ba99.mp3]	module:11-classical point:classical
ニュース見出しでは{{c1::です}}や{{c1::ます}}がしばしば省略される	にゅーすみだしでは{{c1::です}}や{{c1::ます}}がしばしばしょうりゃくされる	現代ニュース形	[sound:d3963ec1b5ac.mp3]	module:11-classical point:classical
法律文では{{c1::以上}}が文末近くに使われる	ほうりつぶんでは{{c1::いじょう}}がぶんまつちかくにつかわれる	法律用語	[sound:072ff2410c03.mp3]	module:11-classical point:classical
{{c1::故に}}は古い接続詞で、{{c1::だから}}の意味	{{c1::ゆえに}}はふるいせつぞくしで、{{c1::だから}}のいみ	古典接続詞	[sound:c25a5f6b62fa.mp3]	module:11-classical point:classical
{{c1::したがって}}、この方法を採用する	{{c1::したがって}}、このほうほうをさいようする	法律・形式文	[sound:67c80e9c0625.mp3]	module:11-classical point:classical
権利を{{c1::有する}}者は責任を負う	けんりを{{c1::ゆうする}}ものはせきにんをおう	法律用語	[sound:2d869abb4975.mp3]	module:11-classical point:classical
{{c1::これ}}は古い指示詞で現代では{{c1::これ}}のままである	{{c1::これ}}はふるいしじしでげんだいでは{{c1::これ}}のままである	古典指示詞	[sound:4fc8885ac6f5.mp3]	module:11-classical point:classical
{{c1::われ}}は古い一人称で現代では{{c1::僕}}や{{c1::私}}となる	{{c1::われ}}はふるいいちにんしょうでげんだいでは{{c1::ぼく}}や{{c1::わたし}}となる	古典人称代名詞	[sound:1b460a8d5205.mp3]	module:11-classical point:classical
{{c1::しかり}}は古い強調で現代では{{c1::そうだ}}となる	{{c1::しかり}}はふるいきょうちょうでげんだいでは{{c1::そうだ}}となる	古典強調形	[sound:cee3b7f57985.mp3]	module:11-classical point:classical
{{c1::かくして}}は古い接続詞で現代では{{c1::こうして}}となる	{{c1::かくして}}はふるいせつぞくしでげんだいでは{{c1::こうして}}となる	古典接続詞	[sound:718fea982bd5.mp3]	module:11-classical point:classical
{{c1::いかん}}は古い疑問詞で現代では{{c1::どうか}}となる	{{c1::いかん}}はふるいぎもんしでげんだいでは{{c1::どうか}}となる	古典疑問詞	[sound:0609cae7db5d.mp3]	module:11-classical point:classical
{{c1::も}}は古典で強調の助詞として使われる	{{c1::も}}はこてんできょうちょうのじょしとしてつかわれる	古典助詞	[sound:9959fa7ccd5d.mp3]	module:11-classical point:classical
{{c1::ぞ}}は古い焦点の助詞で現代では{{c1::こそ}}に相当する	{{c1::ぞ}}はふるいしょうてんのじょしでげんだいでは{{c1::こそ}}にそうとうする	古典焦点助詞	[sound:1c6355a325eb.mp3]	module:11-classical point:classical
{{c1::や}}は古い呼格の助詞で{{c1::よ}}と共に使われた	{{c1::や}}はふるいこかくのじょしで{{c1::よ}}とともにつかわれた	古典呼格助詞	[sound:97c47833502e.mp3]	module:11-classical point:classical
{{c1::より}}は古い起点を示す助詞で現代では{{c1::から}}となる	{{c1::より}}はふるいきてんをしめすじょしでげんだいでは{{c1::から}}となる	古典格助詞	[sound:53494412583c.mp3]	module:11-classical point:classical
漢文訓読では{{c1::いわく}}で引用を示す	かんぶんくんどくでは{{c1::いわく}}でいんようをしめす	漢文読み	[sound:91b37b0fa2e1.mp3]	module:11-classical point:classical
{{c1::夫}}という字は古い主題化の詞として使われた	{{c1::おっと}}というじはふるいしゅだいかのしとしてつかわれた	古典主題詞	[sound:4fbd711f656b.mp3]	module:11-classical point:classical
古い敬語は{{c1::おおせ}}や{{c1::そうろう}}などを用いた	ふるいけいごは{{c1::おおせ}}や{{c1::そうろう}}などをもちいた	古典敬語	[sound:5d13c509c6ca.mp3]	module:11-classical point:classical
{{c1::もしくは}}は古い選択を示す表現で現代では{{c1::あるいは}}となる	{{c1::もしくは}}はふるいせんたくをしめすひょうげんでげんだいでは{{c1::あるいは}}となる	古典選択表現	[sound:45d3778fedf0.mp3]	module:11-classical point:classical
