#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::11 - Classical / Literary Carryover::Recognition
#
彼はここへ来ぬ		古典 ぬ vs 現代 ない	contrast-derived	古典形	古典 ぬ vs 現代 ない	古典と現代の対比	いかない vs modern form	[sound:b426e4836034.mp3]	module:11-classical point:classical-text complexity:intro frequency:top10k source:imabi
それはせぬことだ		古典 ぬ vs 現代 ない	contrast-derived	古典形	古典 ぬ vs 現代 ない	古典と現代の対比	しないことだ vs modern form	[sound:7cb77239c0d3.mp3]	module:11-classical point:classical-text complexity:intro source:imabi
此の剣ざるべし		古典 ざる vs 現代 ない	contrast-derived	古典形	古典 ざる vs 現代 ない	古典と現代の対比	この剣ではない（はず） vs modern form	[sound:243fe7d40498.mp3]	module:11-classical point:classical-text complexity:intro source:imabi
去るべし		古典 べし vs 現代 はずだ	contrast-derived	古典形	古典 べし vs 現代 はずだ	古典と現代の対比	行くはずだ vs modern form	[sound:1009e1c92816.mp3]	module:11-classical point:classical-text complexity:intro frequency:top10k source:imabi
王なりし		古典 ましし vs 現代 だった	contrast-derived	古典形	古典 ましし vs 現代 だった	古典と現代の対比	王だった vs modern form	[sound:114549de77c4.mp3]	module:11-classical point:classical-text complexity:intro frequency:top10k source:imabi
我は彼を愛したり		古典 たり vs 現代 た	contrast-derived	古典形	古典 たり vs 現代 た	古典と現代の対比	僕は彼を愛した vs modern form	[sound:27e4c7787cbf.mp3]	module:11-classical point:classical-text complexity:intro frequency:low source:imabi
するな		古典 な禁止 vs 現代 な禁止	contrast-derived	古典形	古典 な禁止 vs 現代 な禁止	古典と現代の対比	するな vs modern form	[sound:3821b0ca69c5.mp3]	module:11-classical point:classical-text complexity:intro source:imabi
ねばならぬ		古典 ぬ vs 現代 ない	contrast-derived	古典形	古典 ぬ vs 現代 ない	古典と現代の対比	しなければならない vs modern form	[sound:732a3eeb83d3.mp3]	module:11-classical point:classical-text complexity:intro source:imabi
未だ知らざり		古典 ざり vs 現代 なかった	contrast-derived	古典形	古典 ざり vs 現代 なかった	古典と現代の対比	まだ知らなかった vs modern form	[sound:ab43e9d5182a.mp3]	module:11-classical point:classical-text complexity:intro frequency:low source:imabi
此の事あり		古典 あり vs 現代 ある	contrast-derived	古典形	古典 あり vs 現代 ある	古典と現代の対比	この事がある vs modern form	[sound:7d49077da8dd.mp3]	module:11-classical point:classical-text complexity:intro frequency:top5k source:imabi
王たり		古典 たり vs 現代 である	contrast-derived	古典形	古典 たり vs 現代 である	古典と現代の対比	王である vs modern form	[sound:fe345c7bf3d0.mp3]	module:11-classical point:classical-text complexity:intro frequency:top10k source:imabi
去らぬ		古典 ぬ vs 現代 ない	contrast-derived	古典形	古典 ぬ vs 現代 ない	古典と現代の対比	行かない vs modern form	[sound:7ed4633ef098.mp3]	module:11-classical point:classical-text complexity:intro source:imabi
見たり		古典 たり vs 現代 た	contrast-derived	古典形	古典 たり vs 現代 た	古典と現代の対比	見た vs modern form	[sound:066ee4917305.mp3]	module:11-classical point:classical-text complexity:intro source:imabi
愛すべからず		古典 べからず vs 現代 べきではない	contrast-derived	古典形	古典 べからず vs 現代 べきではない	古典と現代の対比	愛すべきではない vs modern form	[sound:d95ecd3f6288.mp3]	module:11-classical point:classical-text complexity:intro frequency:top10k source:imabi
知れたり		古典 たり vs 現代 た	contrast-derived	古典形	古典 たり vs 現代 た	古典と現代の対比	知れた vs modern form	[sound:ac7980d7edf6.mp3]	module:11-classical point:classical-text complexity:intro source:imabi
人にあらず		古典 あらず vs 現代 ではない	contrast-derived	古典形	古典 あらず vs 現代 ではない	古典と現代の対比	人ではない vs modern form	[sound:01c7495a765b.mp3]	module:11-classical point:classical-text complexity:intro frequency:top1k source:imabi
言わぬ		古典 ぬ vs 現代 ない	contrast-derived	古典形	古典 ぬ vs 現代 ない	古典と現代の対比	言わない vs modern form	[sound:b2b0135dbf44.mp3]	module:11-classical point:classical-text complexity:intro source:imabi
来るべし		古典 べし vs 現代 はずだ	contrast-derived	古典形	古典 べし vs 現代 はずだ	古典と現代の対比	来るはずだ vs modern form	[sound:4029f2000aba.mp3]	module:11-classical point:classical-text complexity:intro frequency:top1k source:imabi
されたり		古典 たり vs 現代 た	contrast-derived	古典形	古典 たり vs 現代 た	古典と現代の対比	された vs modern form	[sound:6a9e2ab40377.mp3]	module:11-classical point:classical-text complexity:intro source:imabi
往かぬ		古典 ぬ vs 現代 ない	contrast-derived	古典形	古典 ぬ vs 現代 ない	古典と現代の対比	行かない vs modern form	[sound:99c28369086a.mp3]	module:11-classical point:classical-text complexity:intro source:imabi
為りたり		古典 たり vs 現代 た	contrast-derived	古典形	古典 たり vs 現代 た	古典と現代の対比	なった vs modern form	[sound:3cbdfbef463c.mp3]	module:11-classical point:classical-text complexity:intro frequency:top5k source:imabi
知るぞ		古典 ぞ vs 現代 のだ	contrast-derived	古典形	古典 ぞ vs 現代 のだ	古典と現代の対比	知るのだ vs modern form	[sound:5aace5cfd11f.mp3]	module:11-classical point:classical-text complexity:intro frequency:top1k source:imabi
無し		古典 無し vs 現代 ない	contrast-derived	古典形	古典 無し vs 現代 ない	古典と現代の対比	ない vs modern form	[sound:583066c0e658.mp3]	module:11-classical point:classical-text complexity:intro frequency:top10k source:imabi
果てぬ		古典 ぬ vs 現代 ない	contrast-derived	古典形	古典 ぬ vs 現代 ない	古典と現代の対比	果てない vs modern form	[sound:82192e8322ce.mp3]	module:11-classical point:classical-text complexity:intro frequency:low source:imabi
結びたり		古典 たり vs 現代 た	contrast-derived	古典形	古典 たり vs 現代 た	古典と現代の対比	結んだ vs modern form	[sound:34a61d04139b.mp3]	module:11-classical point:classical-text complexity:intro frequency:low source:imabi
