#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::03 - N3 Grammar::Contrast

雨が___そう。vs 雨が降るそう。	降り	降る	降り	V-stem + そう = visual inference (looks like it will); V-plain + そう = hearsay (heard it will)	stem = appearance; plain = reported	[sound:557e9cdc5c77.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:standard frequency:top1k source:shin-kanzen sense:evidentials scaffold:pending-audio
そのケーキが___そう。vs 甘いそう。	甘	甘い	甘	i-adj appearance: drop い before そう (甘い→甘そう); hearsay: keep plain form (甘いそう)	drop い = looks X; keep い = heard X	[sound:4920b2732c1b.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:standard frequency:top5k source:shin-kanzen sense:evidentials scaffold:pending-audio
試験が___そう。vs 難しいそう。	難し	難しい	難し	i-adj: remove final い for appearance-そう; keep plain form for hearsay-そう	難し+そう = looks hard; 難しい+そう = heard it's hard	[sound:7dcc53b5a7c9.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:standard frequency:top10k source:shin-kanzen sense:evidentials scaffold:pending-audio
彼女が___そう。vs 疲れているそう。	疲れてい	疲れている	疲れてい	V-て-い (drop る) + そう = looks V (visual appearance); V-ている + そう = heard she is V (hearsay)	drop る = appearance; keep = hearsay	[sound:ea4280410202.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:standard frequency:top10k source:shin-kanzen sense:evidentials scaffold:pending-audio
そのレストランが___そう。vs 閉まっているそう。	閉まってい	閉まっている	閉まってい	V-ている → drop る for appearance-そう (閉まっていそう); keep plain V-ている for hearsay (閉まっているそう)	閉まってい+そう = looks closed; 閉まっている+そう = heard it's closed	[sound:2c9f4b22a487.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:advanced frequency:low source:shin-kanzen sense:evidentials scaffold:pending-audio
彼が___そう。vs 忙しいそう。	忙し	忙しい	忙し	i-adj: drop い for visual appearance (忙しそう); keep plain form for hearsay (忙しいそう)	drop い = looks busy; い+そう = heard is busy	[sound:20633f3fd539.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:standard frequency:top1k source:shin-kanzen sense:evidentials scaffold:pending-audio
雪が___そうです。vs 降るそうです。	降り	降る	降り	Polite register: same stem/plain rule — stem + そうです = polite appearance; plain + そうです = polite hearsay	stem = appears; plain = reportedly (polite)	[sound:a01e199a90c5.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:standard frequency:top1k source:shin-kanzen sense:evidentials scaffold:pending-audio
その人が___そう。vs 元気だそう。	元気	元気だ	元気	na-adj: bare stem + そう = looks X (visual appearance); stem + だ + そう = hearsay (reported information)	no だ = appearance; だ+そう = reportedly	[sound:bf9b80f72c67.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:standard frequency:top5k source:shin-kanzen sense:evidentials scaffold:pending-audio
あの映画が___そう。vs 面白いそう。	面白	面白い	面白	i-adj 面白い: drop final い before そう for visual appearance (面白そう); keep plain form for hearsay (面白いそう)	面白そう = looks interesting; 面白いそう = heard it's interesting	[sound:42b152ce8ebf.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:standard frequency:top5k source:shin-kanzen sense:evidentials scaffold:pending-audio
空が___そう。vs 暗いそう。	暗	暗い	暗	i-adj: 暗い → drop い → 暗そう = looks dark (appearance); 暗い + そう = heard it's dark (hearsay)	drop い = appearance; い+そう = hearsay	[sound:950834e43bf3.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:standard frequency:top10k source:shin-kanzen sense:evidentials scaffold:pending-audio
授業が___そう。vs 退屈だそう。	退屈	退屈だ	退屈	na-adj: stem + そう = looks boring (visual appearance); stem + だ + そう = heard it's boring (hearsay)	no だ = looks X; だそう = reportedly X	[sound:98d8d7196b86.mp3]	module:03-n3 jlpt:n3 point:そうだ complexity:standard frequency:top10k source:shin-kanzen sense:evidentials scaffold:pending-audio
