#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::03 - N3 Grammar::Production

It's not that difficult.	N + ほど / Adj + ほど	それほどむずかしくない。	それほど難しくない。	ほど: negative superlative — それほど modifies adj; 'not that X'	[sound:10a2f91e5fd1.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top10k source:shin-kanzen
There's nothing as precious as time.	N + ほど / Adj + ほど	じかんほどたいせつなものはない。	時間ほど大切なものはない。	〜ほど〜ない: inverse superlative — nothing compares to time in value	[sound:cca8fdba55a5.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:top1k source:shin-kanzen
There's no book as interesting as this one.	N + ほど / Adj + ほど	このほんほどおもしろいほんはない。	この本ほど面白い本はない。	N + ほど + neg: nothing as X as Y — top-of-class with negation	[sound:c17e89ccec6b.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:top1k source:shin-kanzen
The more you struggle, the more you grow.	N + ほど / Adj + ほど	くろうしたほど、せいちょうする。	苦労したほど、成長する。	〜ほど〜: proportional consequence — more effort → more growth	[sound:49fa193af390.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top10k source:shin-kanzen
The older you get, the wiser you become.	N + ほど / Adj + ほど	ねんをとるほど、ちえがふえる。	年を取るほど、知恵が増える。	〜ほど〜: aging proportional — more age → more wisdom accumulates	[sound:eed0058923a5.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:top10k source:shin-kanzen
I've never seen such a difficult exam.	N + くらい / Adj + くらい	くらいむずかしいしけんはない。	くらい難しい試験はない。	くらい: approximate degree — 'about this level of difficulty'	[sound:ce9041181f5e.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top5k source:shin-kanzen
I've never been so nervous.	N + くらい / Adj + くらい	ぐらいきんちょうしたことはない。	ぐらい緊張したことはない。	くらい + neg experience: 'never been this nervous' — emphatic degree	[sound:be3ed9a9f6bc.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:top10k source:shin-kanzen
It doesn't go that easily.	N + くらい / Adj + くらい	それくらいかんたんにはいかない。	それくらい簡単にはいかない。	くらい: 'even X is manageable' — concessive degree reference	[sound:3cbac7828529.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:top5k source:shin-kanzen
It's that important.	N + くらい / Adj + くらい	そのぐらいたいせつなことだ。	そのぐらい大切なことだ。	〜ほど: quality degree — 'to the extent of wanting to see'	[sound:70716edd0b02.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top1k source:shin-kanzen
Not only that, it was counterproductive.	V-plain/Adj/N + ばかりか	ばかりか、ぎゃくこうかだった。	ばかりか、逆効果だった。	〜ほど: memorable degree — 'so much that I remember clearly'	[sound:a63be80d1544.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top10k source:shin-kanzen
Not only that, but it's also dangerous.	V-ta + ばかり / N + ばかり	そればかりでなく、きけんでもある。	そればかりでなく、危険でもある。	くらい: surprising degree — 'so surprising it couldn't be believed'	[sound:540f3a905814.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:top5k source:shin-kanzen
Only time passed.	V-ta + ばかり / N + ばかり	じかんばかりすぎてしまった。	時間ばかり過ぎてしまった。	〜ほど: scope of comprehension — 'as much as I could understand'	[sound:fb3f3993c034.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:top1k source:shin-kanzen
Precisely because of that, expectations are high.	N + だけに / Adj + だけに	だけに、きたいがおおきい。	だけに、期待が大きい。	〜するほど〜: proportional inverse — more X → less Y (counterintuitive)	[sound:50a1fc7a70f5.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top10k source:shin-kanzen
Especially being a child, caution is needed.	N + だけに / Adj + だけに	こどもだけに、ちゅういがひつよう。	子どもだけに、注意が必要。	〜ほど〜になる: proportional progress — the more X, the more Y develops	[sound:1ec87aecf8b3.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top5k source:shin-kanzen
Being an expert, their opinion is valuable.	N + だけに / Adj + だけに	せんもんかだけに、いけんがきちょう。	専門家だけに、意見が貴重。	〜ほど〜はない: superlative framing — no X rivals this in degree	[sound:65bb12eae22b.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top10k source:shin-kanzen
As a new employee, you should be careful about mistakes.	N + だけに / Adj + だけに	しんにゅうしゃいんだけに、しっぱいをおそれるべき。	新入社員だけに、失敗を恐れるべき。	〜くらい〜ない: 'not even as X' — absolute lower-bound claim	[sound:2011495c7520.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:low source:shin-kanzen
Even if so, the result is the same.	N + にしても / Wh-word + にしても	にしても、けっかはおなじだ。	にしても、結果は同じだ。	〜ほど: comparative degree — 'not as far as expected'	[sound:c1c4de8df2e7.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top10k source:shin-kanzen
No matter what, I can only do my best.	N + にしても / Wh-word + にしても	なににしても、がんばるしかない。	何にしても、頑張るしかない。	〜ほどの: noun modifier degree — 'X of the magnitude that...'	[sound:9059a1f2db4f.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:top5k source:shin-kanzen
Either way, it's ultimately the person's decision.	N + にしても / Wh-word + にしても	どちらにしても、さいごはほんにんのけつだん。	どちらにしても、最後は本人の決断。	〜するほど: the more you do, the more — direct proportionality	[sound:72b8757e5ebe.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:low source:shin-kanzen
No matter how hard, impossible is impossible.	N + にしても / Wh-word + にしても	どんなにしても、むりはむりだ。	どんなにしても、無理は無理だ。	〜ほど大切: 'nothing as important as' — emphatic priority statement	[sound:fc2b1dba0c70.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:top5k source:shin-kanzen
There's no way to avoid this situation.	N + にしても / Wh-word + にしても	いかにしても、このじょうきょうはさけられない。	いかにしても、この状況は避けられない。	〜ほど〜: incremental proportionality — gradual change matches effort	[sound:e8dc4d14d7e5.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:top10k source:shin-kanzen
No matter what, I won't give up.	N + にしても / Wh-word + にしても	たとえどんなにしても、あきらめない。	たとえどんなにしても、諦めない。	〜ほどではない: 'not to the degree of' — mild downward comparison	[sound:8bc86685ab41.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:standard frequency:low source:shin-kanzen
It's relatively cheap.	N + の + 割に / N + の + 割には	わりにやすい。	わりに安い。	〜するほど〜なくなる: inverse proportionality — more X → less Y	[sound:7343c6e29294.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top1k source:shin-kanzen
It was relatively easy.	N + の + 割に / N + の + 割には	わりにかんたんだった。	わりに簡単だった。	〜ほど感じる: 'feel it more and more' — growing perception	[sound:9fd2b4596e47.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top5k source:shin-kanzen
For his age, he's energetic.	N + の + 割に / N + の + 割には	ねんのわりに、げんきだ。	年の割に、元気だ。	〜するほど〜: consistent proportional outcome — direct tracking	[sound:1931d039c228.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top1k source:shin-kanzen
For a city, it's quiet.	N + の + 割に / N + の + 割には	わりには、しずかだ。	わりには、静かだ。	〜ほど〜が必要: 'needs as much as' — requirement scaling	[sound:2a1c3606a460.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top1k source:shin-kanzen
Compared to other countries, prices are low.	N + の + 割に / N + の + 割には	ほかのくにのわりに、ぶっかがやすい。	他の国の割に、物価が安い。	〜ほど〜: proportional awareness — more X → deeper appreciation	[sound:ee8fd30ed3f4.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top10k source:shin-kanzen
It wasn't as good as expected.	N + の + 割に / N + の + 割には	きたいのわりに、よくなかった。	期待の割に、良くなかった。	〜ほど〜に: temporal proportionality — more time → more change	[sound:2a661ef108f5.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top10k source:shin-kanzen
It was easier than the difficulty level suggested.	N + の + 割に / N + の + 割には	なんいどのわりに、かんたんだった。	難易度の割に、簡単だった。	〜ほど複雑: 'as complicated as' — degree matching reference point	[sound:47fadd1bbad7.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:top10k source:shin-kanzen
There's little result despite the effort.	N + の + 割に / N + の + 割には	どりょくのわりに、せいかがない。	努力の割に、成果がない。	〜するほど〜: compound proportionality — both grow together	[sound:cd9df8316047.mp3]	module:03-n3 jlpt:n3 point:ほど complexity:intro frequency:low source:shin-kanzen
