#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::03 - N3 Grammar::Contrast

彼が来たところに、___が降った。	雨	雪	雨	Both possible but rain more common	Moment of arrival + rain	[sound:7e85c071ee08.mp3]	module:03-n3 jlpt:n3 point:とおり complexity:standard frequency:top5k frequency:top10k confusable-with:雪 source:shin-kanzen
会議の___に、皆が寝ていた。	間	中	間	間 = during; 中 = within	During meeting period	[sound:94a410efd109.mp3]	module:03-n3 jlpt:n3 point:とおり complexity:standard frequency:top5k confusable-with:中 source:shin-kanzen
若い___に、努力しよう。	うち	ころ	うち	うち = while; ころ = around time	Youth period	[sound:f28e05adb2c3.mp3]	module:03-n3 jlpt:n3 point:とおり complexity:standard frequency:top5k frequency:top10k complexity:intro confusable-with:ころ source:shin-kanzen
駅の___で会いましょう。	あたり	側	あたり	あたり = area; 側 = side	Around station	[sound:c7a3cc932c8f.mp3]	module:03-n3 jlpt:n3 point:とおり complexity:standard frequency:top5k frequency:top1k confusable-with:側 source:shin-kanzen
先生のそばに___。	座った	いた	座った	座った = sat; いた = was	Action of sitting	[sound:fedcd3e6a707.mp3]	module:03-n3 jlpt:n3 point:とおり complexity:standard frequency:top5k frequency:top1k complexity:intro confusable-with:いた source:shin-kanzen
お金がないわけで、___。	返さない	来ない	返さない	返さない = won't return	Won't repay	[sound:d06499b2c86f.mp3]	module:03-n3 jlpt:n3 point:とおり complexity:standard frequency:top5k frequency:top10k complexity:intro confusable-with:来ない source:shin-kanzen
川の___側。	向こう	反対	向こう側	向こう = other side; 反対 = opposite	Other side	[sound:7cf3e697bf12.mp3]	module:03-n3 jlpt:n3 point:とおり complexity:standard frequency:top5k complexity:intro source:shin-kanzen
1時間___待った。	ほど	くらい	ほど	Both work but ほど more formal	Approximate duration	[sound:d111841d5891.mp3]	module:03-n3 jlpt:n3 point:とおり complexity:standard frequency:top5k frequency:top1k complexity:intro confusable-with:くらい source:shin-kanzen
駅の___で待とう。	前	側	前	前 = front; 側 = side	In front location	[sound:00c8c5177afe.mp3]	module:03-n3 jlpt:n3 point:とおり complexity:standard frequency:top5k frequency:top1k complexity:intro confusable-with:側 source:shin-kanzen
走っているところを___。	見た	撮った	見た	見た = saw; 撮った = took photo	Witnessed action	[sound:8aa72a113b9d.mp3]	module:03-n3 jlpt:n3 point:とおり complexity:standard frequency:top5k confusable-with:撮った source:shin-kanzen
