#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::03 - N3 Grammar::Contrast

何度試してもダメな___、難しい。	くらい	だけ	ほど	ほど = superlative/degree emphasis (nothing as X as)	Nothing as hard as this	[sound:f3dedf98e795.mp3]	module:03-n3 jlpt:n3 register:formal point:ほど pos:expr frequency:top10k complexity:standard source:shin-kanzen
この映画___面白いものはない。	くらい	だけ	ほど	ほど = superlative comparison	Movie is supremely interesting	[sound:8e94e26ac34c.mp3]	module:03-n3 jlpt:n3 register:formal point:ほど pos:expr frequency:top1k complexity:standard source:shin-kanzen
___長く働けば、給料が上がる。	くらい	だけ	ほど	ほど = ratio 'the more X, the more Y'	Longer work = more salary	[sound:9c66a30b9f99.mp3]	module:03-n3 jlpt:n3 register:formal point:ほど pos:expr frequency:top10k complexity:standard source:shin-kanzen
この値段___安いなら買う。	ほど	だけ	くらい	くらい = approximate degree/amount	At this approximate price, would buy	[sound:69aca5396f34.mp3]	module:03-n3 jlpt:n3 register:formal point:ほど pos:expr frequency:top5k complexity:standard source:shin-kanzen
その___簡単に解ける人は少ない。	ほど	だけ	くらい	くらい = approximate extent (rough degree)	Few can solve it that easily	[sound:0f35b35f25ec.mp3]	module:03-n3 jlpt:n3 register:formal point:ほど pos:expr frequency:top10k complexity:standard source:shin-kanzen
失敗する___で、何も得ない。	ほど	くらい	だけ	だけ = exclusive focus/only (nothing but)	Only failing, no gain	[sound:8ab23665c8d2.mp3]	module:03-n3 jlpt:n3 register:formal point:ほど pos:expr frequency:top5k complexity:standard source:shin-kanzen
時間___が過ぎていく。	ほど	くらい	だけ	だけ = sole/exclusive (just/only)	Time alone passes	[sound:f6e9c3ace18f.mp3]	module:03-n3 jlpt:n3 register:formal point:ほど pos:expr frequency:top1k complexity:intro source:shin-kanzen
努力する___成功する確率が高い。	くらい	だけ	ほど	ほど = ratio (as much X, as much Y)	More effort = higher success rate	[sound:1995c804370b.mp3]	module:03-n3 jlpt:n3 register:formal point:ほど pos:expr frequency:low complexity:standard source:shin-kanzen
本を読む___で賢くなると思うな。	ほど	だけ	くらい	くらい = approximate/mere amount	Mere book-reading won't make you wise	[sound:60fbff67a838.mp3]	module:03-n3 jlpt:n3 register:formal point:ほど pos:expr frequency:top5k complexity:standard source:shin-kanzen
権力を手にする___で、人は変わる。	ほど	くらい	だけ	だけ = simple sufficient condition	Power alone changes people	[sound:70d52246d345.mp3]	module:03-n3 jlpt:n3 register:formal point:ほど pos:expr frequency:low complexity:standard source:shin-kanzen
