#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::03 - N3 Grammar::Contrast
#
彼は毎日ビデオゲームをしてばかりいる。	をしてばかり	をしてだけ	ばかり	Use 'をしてばかり' for this grammatical context.		[sound:86abe9336ab5.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
私は時間があったら、本を読むばかりだ。	ばかり	しか	ばかり	Use 'ばかり' for this grammatical context.		[sound:ed80906d63d6.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実はこの方法しか解決策がない。	しか	だけ	しか	Use 'しか' for this grammatical context.		[sound:39736fd63e19.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は有名な俳優だけあって、演技が素晴らしい。	だけ	ばかり	だけ	Use 'だけ' for this grammatical context.		[sound:d7a3f841cba7.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
金銭援助だけが可能だ。	だけ	しか	だけ	Use 'だけ' for this grammatical context.		[sound:3fe9a1a523fc.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は彼が来るかどうか分からない。	か	を	か	Use 'か' for this grammatical context.		[sound:8c26bd275bd7.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は時間が経つうちに、状況が変わった。	うち	間	うち	Use 'うち' for this grammatical context.		[sound:53af35ea8d48.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
彼女が同意するかどうか確認しよう。	を	が	を	Use 'を' for this grammatical context.		[sound:56e21f59bf80.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は新しい製品が発売されたところが、売れていない。	が	を	が	Use 'が' for this grammatical context.		[sound:15a3d75140df.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は雨が降ろうとしているところが、彼は外に出た。	が	を	が	Use 'が' for this grammatical context.		[sound:4f20d7e2c95a.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は危うく事故に遭うところだった。	ところ	ばかり	ところ	Use 'ところ' for this grammatical context.		[sound:999a82086beb.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は今にも壊れんばかりの古い家。	んばかり	ばかり	んばかり	Use 'んばかり' for this grammatical context.		[sound:ece364cf6062.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実は助けになるどころか、邪魔になった。	どころか	ばかり	どころか	Use 'どころか' for this grammatical context.		[sound:8a84790853a5.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
実はちょうど家を出たばかりに、雨が降ってきた。	な	どころか	な	Use 'な' for this grammatical context.		[sound:2ff084adb4b1.mp3]	module:03-n3 jlpt:n3 point:bakari-dake-shika
