#separator:tab
#html:true
#columns:Audio	Transcript	Reading	EN	Hint	Tags
#notetype:Listening
#deck:Japanese Grammar::13 - L1::Listening
#

[sound:ef594bfb5311.mp3]	すべき	すべきではありません	Should (strong obligation)	べき = you MUST (moral)	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram complexity:standard
[sound:e382e8be9a15.mp3]	できます	できません	Can (ability)	can = CAN DO (skill)	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram complexity:standard
[sound:ca7e82a37528.mp3]	てもいいです	てはいけません	May (permission)	may = you MAY (allowed)	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram complexity:standard
[sound:8fb892cf517b.mp3]	つもりです	予定です	Will (intention)	will = I PLAN to	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram complexity:standard
[sound:888e767b758b.mp3]	なければなりません	なくてはいけません	Must (necessity)	must = HAVE TO	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram complexity:standard
[sound:aa758a018c0f.mp3]	だろう	そうだ	Will (prediction)	will = probably WILL	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram complexity:standard
[sound:89f2b686561f.mp3]	かもしれません	かもしれない	Might (possibility)	might = MAYBE will	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram complexity:standard
[sound:4249bdc7da22.mp3]	ようにする	ようにしろ	Try to (effort/intention)	try to = try hard	module:13-l1 point:l1-modality-mismatch complexity:intro source:curated-jpgram complexity:standard
[sound:dde69ffca21a.mp3]	学校にいます	がっこうにいます	I am at school (location)	where someone/thing IS	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram complexity:standard
[sound:ae940f4b97d3.mp3]	学校で勉強します	がっこうでべんきょうします	I study at school (action context)	where action HAPPENS	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram complexity:standard
[sound:f13584798bce.mp3]	図書館にいます	としょかんにいます	I am in the library (being there)	where you ARE (no action)	module:13-l1 point:l1-particles-overlap frequency:top1k complexity:intro source:curated-jpgram complexity:standard
[sound:84e88bf5a74c.mp3]	図書館で本を読みます	としょかんでほんをよみます	I read a book in the library (action)	where you DO something	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram complexity:standard
[sound:3c1c106a15b7.mp3]	電車で行きます	でんしゃでいきます	I go by train (means)	HOW you move	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram complexity:standard
[sound:985f578e286b.mp3]	東京へ行きます	とうきょうへいきます	I go to Tokyo (destination)	movement TOWARD	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram complexity:standard
[sound:ccccd266c70b.mp3]	田中さんに会いました	たなかさんにあいました	I met Tanaka (target)	meeting a PERSON	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram complexity:standard
[sound:a0b43a304215.mp3]	田中さんと会いました	たなかさんとあいました	I met with Tanaka (together)	meeting WITH someone	module:13-l1 point:l1-particles-overlap frequency:top10k complexity:intro source:curated-jpgram complexity:standard
[sound:5417661ab018.mp3]	私が買った本	わたしがかったほん	The book that I bought	verb comes BEFORE noun	module:13-l1 point:l1-relative-clauses frequency:top1k complexity:intro source:curated-jpgram complexity:standard
[sound:821430f63c65.mp3]	田中さんが書いた記事	たなかさんがかいたきじ	The article that Tanaka wrote	past verb BEFORE article	module:13-l1 point:l1-relative-clauses frequency:top10k complexity:intro source:curated-jpgram complexity:standard
[sound:ce6577e033eb.mp3]	昨日見た映画	きのうみたえいが	The movie that I watched yesterday	time + verb BEFORE movie	module:13-l1 point:l1-relative-clauses frequency:top1k complexity:intro source:curated-jpgram complexity:standard
[sound:b6cbe418d421.mp3]	彼が住んでいるアパート	かれがすんでいるあぱーと	The apartment where he lives	present verb BEFORE apartment	module:13-l1 point:l1-relative-clauses frequency:top10k complexity:intro source:curated-jpgram complexity:standard
[sound:b7820fc019eb.mp3]	先生が教えている学生	せんせいがおしえているがくせい	The student that the teacher is teaching	progressive verb BEFORE student	module:13-l1 point:l1-relative-clauses frequency:top10k complexity:intro source:curated-jpgram complexity:standard
[sound:49071cc71b6a.mp3]	私が知っている人	わたしがしっているひと	The person that I know	know-verb BEFORE person	module:13-l1 point:l1-relative-clauses frequency:top1k complexity:intro source:curated-jpgram complexity:standard
[sound:c9b8f965add4.mp3]	子どもたちが遊ぶ公園	こどもたちがあそぶこうえん	The park where children play	verb BEFORE park	module:13-l1 point:l1-relative-clauses frequency:top5k complexity:intro source:curated-jpgram complexity:standard
[sound:12906aa5e600.mp3]	企業が開発した製品	きぎょうがかいはつしたせいひん	The product that the company developed	past verb BEFORE product	module:13-l1 point:l1-relative-clauses frequency:low complexity:intro source:curated-jpgram complexity:standard
