#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast

この説は正確である___。	〜ものと思われる	〜と考えられる	〜ものと思われる	Both suggest inference but ものと思われる emphasizes formal report/academic context.	Use ものと思われる in reports.	[sound:dbaf147a3428.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:standard confusable-with:と考えられる frequency:top10k
売上は減少している___。	〜ものと考えられる	〜と考えられる	〜ものと考えられる	ものと考える adds formal judgment nuance to thinking.	ものと adds formality.	[sound:ca39e0389b2a.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:standard confusable-with:と考えられる frequency:low
このデータは信頼できる___。	〜ものと思われる	〜ようだ	〜ものと思われる	ものと思われる is more formal/official than ようだ.	ものと思われる: formal.	[sound:16c2ed7a84c0.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:standard confusable-with:ようだ frequency:top10k
実施は本年度までである___。	〜までだ	〜のみだ	〜までだ	までだ emphasizes endpoint; のみだ emphasizes sole/only aspect.	までだ: endpoint.	[sound:88be9a487ca3.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:standard confusable-with:のみだ frequency:low
その貢献は限定的___。	〜にすぎない	〜にほかならない	〜にすぎない	にすぎない = merely; にほかならない = is nothing but (stronger emphasis).	にすぎない: weaker.	[sound:ef0177c7299b.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:intro confusable-with:にほかならない frequency:low
その決定は妥当だ___。	〜ものと判断する	〜と判断する	〜ものと判断する	ものと adds formal/official tone to judgment.	ものと: formal.	[sound:dc8728285753.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:intro confusable-with:と判断する frequency:low
結果は失敗である___。	〜ものと考えられる	〜と考えられる	〜ものと考えられる	ものと adds noun-like formality to thinking.	ものと adds structure.	[sound:404e7fb09159.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:intro confusable-with:と考えられる frequency:top10k
需要は今後増加する___。	〜ものと思われる	〜ようです	〜ものと思われる	ものと思われる is more formal than ようです.	ものと思われる: formal.	[sound:6e0c2a298000.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:standard confusable-with:ようです frequency:top10k
その予測は不正確___。	〜にすぎない	〜ばかりだ	〜にすぎない	にすぎない = mere; ばかりだ = only/nothing but.	にすぎない: mild downplay.	[sound:a8d92aacd083.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:intro confusable-with:ばかりだ frequency:top10k
その対応は及ばない___。	〜には及ばない	〜にはいたらない	〜には及ばない	及ばない is slightly more formal; いたらない is softer.	及ばない: formal.	[sound:b8f02253560c.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:standard confusable-with:にはいたらない frequency:low
彼の発言は矛盾している___。	〜ものと判断される	〜と判断される	〜ものと判断される	ものと adds formal nominalization.	ものと: formal.	[sound:c62c3cde1157.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:standard confusable-with:と判断される frequency:low
改革の効果は限定的___。	〜にすぎない	〜に限定される	〜にすぎない	にすぎない emphasizes mere quantity; に限定される emphasizes scope.	にすぎない: quantity.	[sound:7b14523e0cd9.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:standard confusable-with:に限定される frequency:low
その仮説は妥当である___。	〜ものと考えられる	〜かもしれない	〜ものと考えられる	ものと考えられる is confident; かもしれない shows uncertainty.	ものと考えられる: confident.	[sound:2700e931d7c2.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:standard confusable-with:かもしれない frequency:low
結論は早計___。	〜にほかならない	〜にすぎない	〜にほかならない	にほかならない = is precisely; にすぎない = is merely.	にほかならない: emphatic.	[sound:c8fa8566b9f0.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:intro confusable-with:にすぎない frequency:top10k
評価は主観的___。	〜にすぎない	〜に他ならない	〜にすぎない	にすぎない = mere; に他ならない = nothing but (formal variant).	にすぎない: mild.	[sound:5b67aa7db7e4.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:intro confusable-with:に他ならない frequency:low
新規事業は成功する___。	〜ものと思われる	〜だろう	〜ものと思われる	ものと思われる is formal report tone; だろう is conversational.	ものと思われる: formal.	[sound:ed31cfcdbc86.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:standard confusable-with:だろう frequency:low
その方法は有効だ___。	〜ものと考える	〜と考える	〜ものと考える	ものと adds formal structure.	ものと: formal.	[sound:264e3120646b.mp3]	module:05-n1 jlpt:n1 point:n1-modality complexity:intro confusable-with:と考える frequency:top10k
