#separator:tab
#html:true
#columns:Audio	Transcript	Reading	EN	Hint	Tags
#notetype:Listening
#deck:Japanese Grammar::05 - N1::Listening
#
[sound:f709cafca604.mp3]	諸君は努力すべしと言われた。	しょくんはどりょくすべしといわれた。	べし: Obligation.	You should strive	module:05-n1 jlpt:n1 point:classical-carryover complexity:standard frequency:low source:shin-kanzen point:module-listening_listening
[sound:87c1ff8590a0.mp3]	学問を修むべし。	がくもんをおさむべし。	べし: Obligation.	One must study learning	module:05-n1 jlpt:n1 point:classical-carryover complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:1bf083753ea7.mp3]	この秘密は守るべし。	このひみつはまもるべし。	べし: Obligation.	Must keep this secret	module:05-n1 jlpt:n1 point:classical-carryover complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:56bde85e2dc9.mp3]	人を傷つくべからず。	にんをきずつくべからず。	べからず: Prohibition.	Must not hurt people	module:05-n1 jlpt:n1 point:classical-carryover complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:84d37f438b13.mp3]	嘘をつくべからず。	うそをつくべからず。	べからず: Prohibition.	Must not lie	module:05-n1 jlpt:n1 point:classical-carryover complexity:intro frequency:top5k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:a9eca42ec4a0.mp3]	君に従うべし。	くんにしたがうべし。	べし: Obligation.	You must obey	module:05-n1 jlpt:n1 point:classical-carryover complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:12b69f380a3b.mp3]	早く行動すべき時が来た。	はやくこうどうすべきときがきた。	べし: Obligation.	Time has come to act quickly	module:05-n1 jlpt:n1 point:classical-carryover complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:a026e1055d53.mp3]	そんなことは起こるまじ。	そんなことはおこるまじ。	まじ: Negative assumption.	Impossible	module:05-n1 jlpt:n1 point:classical-carryover complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:05f11672b23b.mp3]	今こそ始めるべき時だ。	いまこそはじめるべきときだ。	こそ: Emphatic.	Signals 'THIS is the time'	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top5k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:98238e92886a.mp3]	彼こそが真犯人だ。	かれこそがしんはんにんだ。	こそ: Emphatic.	Points to the REAL culprit	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:d83d90e43429.mp3]	苦難こそが人を成長させる。	くなんこそがにんをせいちょうさせる。	こそ: Emphatic.	Hardship itself builds character	module:05-n1 jlpt:n1 point:literary-particles complexity:standard frequency:top10k source:shin-kanzen point:module-listening_listening
[sound:6385574dfa48.mp3]	今年こそ合格したい。	こんねんこそごうかくしたい。	こそ: Emphatic.	THIS year I want to pass	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:c8d08af17b0d.mp3]	君こそ相応しい。	くんこそふさわしい。	こそ: Emphatic.	You're THE one	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:low source:shin-kanzen point:module-listening_listening complexity:standard
[sound:6c035ada0da8.mp3]	想像だに難しい。	そうぞうだにむずかしい。	だに: Even-not.	Hard to even imagine	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:779c65e44c9a.mp3]	名前だに知らない。	なまえだにしらない。	だに: Even-not.	Don't even know the name	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top1k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:64ff6832773f.mp3]	読むことだに困難だ。	よむことだにこんなんだ。	だに: Even-not.	Hard to even read	module:05-n1 jlpt:n1 point:literary-particles complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:bb8c7090b0a2.mp3]	彼が来たや否や皆が黙った。	かれがきたやひやみながだまった。	や否や: No sooner/as soon as.	All went silent instantly	module:05-n1 jlpt:n1 point:literary-temporal complexity:standard frequency:top10k source:shin-kanzen point:module-listening_listening
[sound:66169e81583b.mp3]	ドアを開けたや否や光が入った。	どあをひらけたやひやひかりがいっった。	や否や: No sooner/as soon as.	Light poured in instantly	module:05-n1 jlpt:n1 point:literary-temporal complexity:standard frequency:top10k source:shin-kanzen point:module-listening_listening
[sound:69b107d3160b.mp3]	彼が話したや否や反発があった。	かれがはなしたやひやはんぱつがあった。	や否や: No sooner/as soon as.	Opposition arose instantly	module:05-n1 jlpt:n1 point:literary-temporal complexity:standard frequency:low source:shin-kanzen point:module-listening_listening
[sound:e065cde4a80f.mp3]	彼は歩きながらに考えた。	かれはあるきながらにかんがえた。	ながらに: While literary.	He thought while walking	module:05-n1 jlpt:n1 point:literary-temporal complexity:intro frequency:top10k source:shin-kanzen point:module-listening_listening complexity:standard
[sound:a01895bc8709.mp3]	学びながらにして成長した。	まなびながらにしてせいちょうした。	ながらにして: While literary.	Grew while learning	module:05-n1 jlpt:n1 point:literary-temporal complexity:standard frequency:top10k source:shin-kanzen point:module-listening_listening
[sound:614412a282a9.mp3]	若き日にして既に才能を示した。	わかきにちにしてすでにさいのうをしめした。	にして: At time of; manner.	Already showed talent when young	module:05-n1 jlpt:n1 point:literary-temporal complexity:standard frequency:top10k source:shin-kanzen point:module-listening_listening
[sound:7a6cbc844b73.mp3]	一瞬にして全てが変わった。	いっしゅんにしてすべてがかわった。	にして: At time of; manner.	Everything changed in instant	module:05-n1 jlpt:n1 point:literary-temporal complexity:standard frequency:top10k source:shin-kanzen point:module-listening_listening
[sound:d927f62ff721.mp3]	戦いの最中にあって冷静さを保つ。	たたかいのさいちゅうにあってれいせいさをたもつ。	にあって: In/during.	Keep calm during battle	module:05-n1 jlpt:n1 point:literary-temporal complexity:standard frequency:low source:shin-kanzen point:module-listening_listening
