#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar (Strict)::01 - N5 Grammar::Contrast

私は___。	行こう	行きましょう	行こう	plain volitional vs polite suggestion	よう = plain / ましょう = polite	[sound:73d2a740a324.mp3]	module:01-n5 jlpt:n5 register:neutral point:ましょう pos:expr frequency:top1k complexity:intro confusable-with:行きましょう source:shin-kanzen
一緒に___。	食べよう	食べましょう	食べましょう	casual group action vs polite proposal	ましょう = more formal	[sound:cc73f3d7f44f.mp3]	module:01-n5 jlpt:n5 register:neutral point:ましょう pos:expr frequency:top1k complexity:intro confusable-with:食べよう source:shin-kanzen
留学を___と思う。	しよう	します	しよう	intention with volitional vs simple future	ようと思う = planning intent	[sound:9800bc660ae0.mp3]	module:01-n5 jlpt:n5 register:neutral point:ましょう pos:expr frequency:top10k complexity:intro confusable-with:します source:shin-kanzen
来年卒業する___。	つもり	予定	つもり	firm intention vs scheduled plan	つもり = personal determination	[sound:5b9f07a44651.mp3]	module:01-n5 jlpt:n5 register:neutral point:ましょう pos:expr frequency:top5k complexity:intro confusable-with:予定 source:shin-kanzen
行き___。	よう	ましょう	よう	casual intimate group vs polite group	plain form = casual	[sound:3e4b4e802ed3.mp3]	module:01-n5 jlpt:n5 register:neutral point:ましょう pos:expr frequency:top10k complexity:intro confusable-with:ましょう source:shin-kanzen
海に行く___。	つもり	予定	予定	personal plan vs formal schedule	予定 = official itinerary	[sound:b2f08dce4154.mp3]	module:01-n5 jlpt:n5 register:neutral point:ましょう pos:expr frequency:top1k complexity:intro confusable-with:つもり source:shin-kanzen
頑張ろう vs 頑張り___。	よう	ます	よう	volitional encouragement vs polite action	よう = let's together	[sound:574d0d0195e0.mp3]	module:01-n5 jlpt:n5 register:neutral point:ましょう pos:expr complexity:standard confusable-with:ます source:shin-kanzen
ここまで出来た___。	よう	つもり	つもり	reaching this point vs intention	つもり = original plan	[sound:c9db2427c531.mp3]	module:01-n5 jlpt:n5 register:neutral point:ましょう pos:expr frequency:top10k complexity:intro confusable-with:よう source:shin-kanzen
今月中に終わる___。	つもり	よう	つもり	personal commitment vs casual intention	つもり = firm commitment	[sound:97b6e160564b.mp3]	module:01-n5 jlpt:n5 register:neutral point:ましょう pos:expr frequency:top1k complexity:intro confusable-with:よう source:shin-kanzen
一杯飲み___。	よう	ましょう	ましょう	casual drinking together vs polite offer	ましょう = formal invitation	[sound:968126cc0010.mp3]	module:01-n5 jlpt:n5 register:neutral point:ましょう pos:expr frequency:top5k complexity:intro confusable-with:よう source:shin-kanzen
