#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::01 - N5 Grammar::Production

When spring comes, cherry blossoms bloom.	春になると、桜が咲きます。	はるになると、さくらがさきます。	春になると、桜が咲きます。	と: seasonal natural law — spring triggers cherry blossoms without exception	[sound:e97713fb15d6.mp3]	module:01-n5 jlpt:n5 register:neutral point:と pos:expr frequency:top10k complexity:intro source:shin-kanzen sense:conditional-alternatives
When you heat water, it boils.	水を熱すると、沸きます。	みずをあつすると、わきます。	水を熱すると、沸きます。	と: physical law — heat energy invariably causes state transition to boiling	[sound:c54249ff74b6.mp3]	module:01-n5 jlpt:n5 register:neutral point:と pos:expr frequency:low complexity:intro source:shin-kanzen sense:conditional-alternatives
When the sun rises, the world becomes bright.	太陽が昇ると、世界が明るくなります。	たいようがのぼると、せかいがあかるくなります。	太陽が昇ると、世界が明るくなります。	と: astronomical cycle — sunrise unfailingly produces brightness; no volition	[sound:6b985ab8d5ba.mp3]	module:01-n5 jlpt:n5 register:neutral point:と pos:expr frequency:top10k complexity:standard source:shin-kanzen sense:conditional-alternatives
When the temperature drops, snow falls.	気温が下がると、雪が降ります。	きおんがさがると、ゆきがふります。	気温が下がると、雪が降ります。	と: meteorological chain — temperature drop automatically triggers snowfall	[sound:388ea63a7394.mp3]	module:01-n5 jlpt:n5 register:neutral point:と pos:expr frequency:top10k complexity:standard source:shin-kanzen sense:conditional-alternatives
When you exercise, your body gets stronger.	運動すると、体が強くなります。	うんどうすると、からだがつよくなります。	運動すると、体が強くなります。	と: habitual physiological law — exercise reliably strengthens the body	[sound:b4440817ad5b.mp3]	module:01-n5 jlpt:n5 register:neutral point:と pos:expr frequency:low complexity:standard source:shin-kanzen sense:conditional-alternatives
When you study, you improve.	勉強すると、上手になります。	べんきょうすると、じょうずになります。	勉強すると、上手になります。	と: skill-building law — consistent study produces proportional improvement	[sound:c84ef75d08bd.mp3]	module:01-n5 jlpt:n5 register:neutral point:と pos:expr frequency:top1k complexity:standard source:shin-kanzen sense:conditional-alternatives
When you eat too much, you gain weight.	食べ過ぎると、太ります。	たべすぎると、ふとります。	食べ過ぎると、太ります。	と: biological consequence — overeating causes weight gain; no escape clause	[sound:2bac407fccf5.mp3]	module:01-n5 jlpt:n5 register:neutral point:と pos:expr frequency:top5k complexity:intro source:shin-kanzen sense:conditional-alternatives
When you sleep, fatigue goes away.	寝ると、疲れが取れます。	ねると、つかれがとれます。	寝ると、疲れが取れます。	と: restorative law — sleep reliably eliminates fatigue; body mechanism	[sound:76fd0c92142f.mp3]	module:01-n5 jlpt:n5 register:neutral point:と pos:expr frequency:top10k complexity:intro source:shin-kanzen sense:conditional-alternatives
When time passes, things change.	時間が経つと、物が変わります。	じかんがたつと、ものがかわります。	時間が経つと、物が変わります。	と: temporal drift — passage of time automatically alters all things	[sound:6242619cd2d0.mp3]	module:01-n5 jlpt:n5 register:neutral point:と pos:expr frequency:top10k complexity:standard source:shin-kanzen sense:conditional-alternatives
When you turn the knob, the door opens.	ノブを回すと、ドアが開きます。	のぶをまわすと、どあがひらきます。	ノブを回すと、ドアが開きます。	と: mechanical trigger — turning the knob directly activates the door	[sound:cf93dd17ed8c.mp3]	module:01-n5 jlpt:n5 register:neutral point:と pos:expr frequency:top1k complexity:standard source:shin-kanzen sense:conditional-alternatives
