#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::10 - Onomatopoeia::Production

Woof woof.	animal voice	わんわん	ワンワン	giseigo: dog's sustained bark — alarm or greeting; repeated voiced vocalization	[sound:d089c6bae983.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
Meow.	animal voice	にゃー	ニャー	giseigo: single cat meow — soft feline call; greeting, request, or complaint	[sound:47d9e36d59dd.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
Cock-a-doodle-doo.	animal voice	こけこっこー	コケコッコー	giseigo: rooster's dawn crow — alternating pitch announces morning arrival	[sound:93b6dedc98e1.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
Ribbit ribbit.	animal voice	けろけろ	ケロケロ	giseigo: frog's ribbit — repeated nasal croak; wet environment vocalization	[sound:b88990383761.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
Moo.	animal voice	もーもー	モーモー	giseigo: cow's moo — rounded labials mimic deep bovine resonance	[sound:2014291e78d6.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
Oink oink.	animal voice	ぶーぶー	ブーブー	giseigo: pig's oink — nasal labial sounds; pig grunt and snuffle	[sound:c290aa4fc780.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
Chirp chirp.	animal voice	ちゅんちゅん	チュンチュン	giseigo: sparrow's chirp — light staccato call; small garden bird	[sound:98eeb9025bd8.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
Neigh/whinny.	animal voice	ひーひー	ヒーヒー	giseigo: horse's high neigh — elongated front vowel; distress or excitement	[sound:f66b1943c4da.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
Quack quack.	animal voice	がーがー	ガーガー	giseigo: duck's quack — harsh nasal vowel; waterfowl alarm or feeding call	[sound:748f805710df.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
Meow meow.	animal voice	にゃーにゃー	ニャーニャー	giseigo: cat's persistent meowing — repeated demand or prolonged expression	[sound:b52e76022102.mp3]	module:10-onomatopoeia point:giseigo-voices complexity:intro source:dictionary-of-jp-grammar
