#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::10 - Onomatopoeia::Cloze

雨が{{c1::ざーざー}}と降っている。	あめが{{c1::ざーざー}}とふっている。	heavy rain falling outside	[sound:1ae8b3bec68b.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top1k source:dictionary-of-jp-grammar
雪が{{c1::ふわふわ}}と降ってくる。	ゆきが{{c1::ふわふわ}}とふってくる。	snow falling softly	[sound:839c0d2cda24.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top1k source:dictionary-of-jp-grammar
心が{{c1::どきどき}}している。	こころが{{c1::どきどき}}している。	nervous or excited heart	[sound:f8d17577f746.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top5k source:dictionary-of-jp-grammar
クッキーは{{c1::さくさく}}だ。	くっきーは{{c1::さくさく}}だ。	crispy texture food	[sound:edfb8d49472a.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro source:dictionary-of-jp-grammar
このカーペットは{{c1::つるつる}}。	このかーぺっとは{{c1::つるつる}}。	smooth surface feel	[sound:826fa0c33b57.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top10k source:dictionary-of-jp-grammar
{{c1::ワンワン}}と犬が吠えている。	{{c1::わんわん}}といぬがほえている。	dog barking sound	[sound:be4dc02b02a7.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top1k source:dictionary-of-jp-grammar
{{c1::ニャーニャー}}と猫が鳴く。	{{c1::にゃーにゃー}}とねこがなく。	cat meowing	[sound:519d9f16834c.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top1k source:dictionary-of-jp-grammar
{{c1::コケコッコー}}とニワトリが鳴く。	{{c1::こけこっこー}}とにわとりがなく。	rooster morning call	[sound:6c347dcf8aad.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top1k source:dictionary-of-jp-grammar
子どもは{{c1::わくわく}}している。	こどもは{{c1::わくわく}}している。	children excited or thrilled	[sound:1c34a98ed8c1.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top5k source:dictionary-of-jp-grammar
彼は{{c1::イライラ}}している。	かれは{{c1::いらいら}}している。	he is annoyed	[sound:ad571560835f.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top5k source:dictionary-of-jp-grammar
私は{{c1::ハラハラ}}している。	わたしは{{c1::はらはら}}している。	I am anxious or worried	[sound:d9d3a6aef1e2.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top1k source:dictionary-of-jp-grammar
{{c1::ザワザワ}}と騒がしい。	{{c1::ざわざわ}}とさわがしい。	noisy chaotic atmosphere	[sound:d838a17ded5e.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:low source:dictionary-of-jp-grammar
彼女は{{c1::スッキリ}}した。	かのじょは{{c1::すっきり}}した。	she feels refreshed	[sound:5e9961b61b95.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top5k source:dictionary-of-jp-grammar
この服は{{c1::ぶかぶか}}だ。	このふくは{{c1::ぶかぶか}}だ。	baggy loose clothing	[sound:f815e2544dbf.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top1k source:dictionary-of-jp-grammar
砂地は{{c1::じゃりじゃり}}している。	すなちは{{c1::じゃりじゃり}}している。	sandy gritty soil	[sound:ffbf54b212bf.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top10k source:dictionary-of-jp-grammar
静かに{{c1::そっと}}歩く。	しずかに{{c1::そっと}}あるく。	walk softly and quietly	[sound:c9e7dcb83bf3.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top1k source:dictionary-of-jp-grammar
頭が{{c1::ボーッ}}としている。	あたまが{{c1::ぼーっ}}としている。	feeling dazed or spacey	[sound:8b2710148120.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top1k source:dictionary-of-jp-grammar
気分が{{c1::スッキリ}}しない。	きぶんが{{c1::すっきり}}しない。	feeling unclear or muddled	[sound:8f1db4be432a.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top5k source:dictionary-of-jp-grammar
足が{{c1::ポカポカ}}温かい。	あしが{{c1::ぽかぽか}}あたたかい。	feet warmly comfortable	[sound:d530c7e45584.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top10k source:dictionary-of-jp-grammar
髪が{{c1::ボサボサ}}だ。	かみが{{c1::ぼさぼさ}}だ。	hair is messy and tangled	[sound:f01f6c53dd2f.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top5k source:dictionary-of-jp-grammar
肌が{{c1::つやつや}}。	はだが{{c1::つやつや}}。	skin is glossy and lustrous	[sound:61727638a319.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top10k source:dictionary-of-jp-grammar
星が{{c1::きらきら}}輝いている。	ほしが{{c1::きらきら}}かがやいている。	stars sparkling	[sound:5c1905eb7098.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top5k source:dictionary-of-jp-grammar
目が{{c1::ぴかぴか}}している。	めが{{c1::ぴかぴか}}している。	eyes are sparkling bright	[sound:5f59fc3297b5.mp3]	module:10-onomatopoeia point:onomatopoeia complexity:intro frequency:top1k source:dictionary-of-jp-grammar
