#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::01 - N5 Grammar::Recognition
#
私は友達にプレゼントをあげました。	わたしはともだちにぷれぜんとをあげました。	I gave a present to my friend.	giving	X に Y をあげる	give Y to X	non-benefactive gift	もらう	[sound:92c711538496.mp3]	
姉は妹に本をあげた。	あねはいもとにほんをあげた。	The older sister gave a book.	giving	A は B に を + あげる	give object to recipient	simple gift-giving	くれる	[sound:6d84752666a3.mp3]	
彼にお金をあげないで。	かれにおかねをあげないで。	Don't give him money.	giving-negative	X に あげない	refusal to give	negative of あげる	もらう	[sound:dc1a36cc2d09.mp3]	
子どもにお菓子をあげてもいいですか？	こどもにおかしをあげてもいいですか？	Is it OK if I give candy?	giving-permission	あげても + いい	request permission to give	permissive form	くれる	[sound:e583b794bffc.mp3]	
母は毎日私にお金をあげています。	はははまいにちわたしにおかねをあげています。	Mother gives me money every day.	giving-habitual	あげている	habitual giving	ongoing/repetitive gift	もらう	[sound:6bb417e731ff.mp3]	
友達からプレゼントをもらいました。	ともだちからぷれぜんとをもらいました。	I received a present from my friend.	receiving	X から Y をもらう	receive Y from X	passive reception	あげる	[sound:601a1656200e.mp3]	
去年父から時計をもらった。	きょねんちちからとけいをもらった。	I received a watch from dad.	receiving	X から をもらう	got gift from X	past reception	くれる	[sound:5711bfaca8ee.mp3]	
先生からほめられてうれしくてもらい泣きした。	せんせいからほめられてうれしくてもらいなきした。	I got praised and cried happily.	receiving-joy	もらい + emotion	receive praise/benefit	complex expression	あげる	[sound:6b535df6196e.mp3]	
会社からボーナスをもらう予定です。	かいしゃからぼーなすをもらうよていです。	I plan to get bonus from company.	receiving-future	もらう + 予定	expected reception	future plan	くれる	[sound:49e4565cda56.mp3]	
何ももらわなくても大丈夫です。	なにももらわなくてもだいじょうぶです。	It's fine even without anything.	receiving-negative	もらわない	refusal/no need	negative reception	あげる	[sound:9de1a84a3c16.mp3]	
友達が私にプレゼントをくれました。	ともだちがわたしにぷれぜんとをくれました。	My friend gave me a present.	giving-to-me	X が私に を + くれる	give to me (benefactive)	other person gives to me	あげる	[sound:dc2559467ef0.mp3]	
先生は学生に宿題を出してくれた。	せんせいはがくせいにしゅくだいをだしてくれた。	The teacher gave homework kindly.	giving-benefactive	て + くれる	do kindly for recipient	benefactive action	もらう	[sound:39590893c0d3.mp3]	
弟が手伝ってくれました。	おとうとがてつだってくれました。	My younger brother helped me.	helping-benefactive	V-te + くれる	do for me out of kindness	favor/help given to me	あげる	[sound:eb6670ab02fc.mp3]	
誰か水をくれませんか？	だれかみずをくれませんか？	Won't someone give me water?	requesting	くれません + か	polite request for giving	courteous demand	もらう	[sound:d371cd9c8d37.mp3]	
彼はいつも優しくしてくれます。	かれはいつもやさしくしてくれます。	He is always kind to me.	kindness	V-te + くれる	consistently does kindness	ongoing favor	あげる	[sound:da377a414b25.mp3]	
こうしてやってみましょう。	こうしてやってみましょう。	Let's try doing it this way.	manner	こう + V	do in this manner	this way	そう	[sound:8964d05d58c4.mp3]	
そうやって進めます。	そうやってすすめます。	I will proceed that way.	manner	そう + V	do in that manner	other person's way	ああ	[sound:be1331af1a0f.mp3]	
どうやって説明したらいいですか？	どうやってせつめいしたらいいですか？	How should I explain it?	manner-question	どう + V	what manner/method	asking for method	こう	[sound:044ba1147d31.mp3]	
毎日走るようにしています。	まいにちはしるようにしています。	I make habit to run daily.	habit-formation	V + ように + する	develop habit toward goal	deliberate habit	ことにする	[sound:f38a0f9c0b50.mp3]	
健康になるようにします。	けんこうになるようにします。	I will try to become healthy.	goal-effort	Adj-な + ように	strive toward state	trying for result	ことにする	[sound:c492ac7d104f.mp3]	
毎日勉強することにしました。	まいにちべんきょうすることにしました。	I have decided to study daily.	decision	V + ことに + した	made a firm decision	resolute choice	ようにする	[sound:4a8d99fd4341.mp3]	
朝6時に起きることにします。	あさろくじにおきることにします。	I will commit to waking 6 AM.	decision-time	time + に + V + ことに	set/fix time for action	firm schedule	ようにする	[sound:74c2a92a5bb7.mp3]	
本は三冊あります。	ほんはさんさつあります。	There are 3 books.	counter-冊	N + 冊	counter for flat bound things	books/magazines	さつ	[sound:74a3c471fefc.mp3]	
りんご五個ください。	りんごごこください。	Give me 5 apples please.	counter-個	N + 個	counter for small/countable objects	こ/ご	ども	[sound:680dd1f87a8c.mp3]	
12月に引っ越します。	じゅうにがつにひっこします。	I will move in December.	month-12月	N + 月	months of year (1-12月)	じゅうにがつ irregular	じゅうにがつ	[sound:970ad53d5071.mp3]	
2024年です。	にせんにじゅうよんねんです。	It is year 2024.	counter-年	N + 年	counter for years	ねん	ねん	[sound:cba3db5214ee.mp3]	
彼は三十歳です。	かれはさんじゅっさいです。	He is 30 years old.	counter-歳	N + 歳	counter for age	さい (さんじゅっさい)	さい	[sound:7b66b5c0a84d.mp3]	
五階に住んでいます。	ごかいにすんでいます。	I live on the 5th floor.	counter-階	N + 階	counter for floors/stories	かい	かい	[sound:3a95c0daf0f8.mp3]	
六番の部屋です。	ろくばんのへやです。	It is room number 6.	counter-番	N + 番	counter for ordinal numbers	ばん	ばん	[sound:2ff3850f962e.mp3]	
百円のおもちゃ。	ひゃくえんのおもちゃ。	A toy costing 100 yen.	counter-円	N + 円	counter for Japanese currency	えん	えん	[sound:a9ec9582b7d3.mp3]	
机の上に置いてあります。	つくえのうえにおいてあります。	It is on top of the desk.	position-up	上 + に	above/on top	うえ	うえ	[sound:e27e5cf36170.mp3]	
箱の中に入っています。	はこのなかにはいっています。	It is inside the box.	position-inside	中 + に	inside/within	なか	なか	[sound:d9bc1f1d4efc.mp3]	
家の外で遊んでいます。	いえのそとであそんでいます。	They are playing outside.	position-outside	外 + で	outside/beyond	そと	そと	[sound:2b113c495e56.mp3]	
前の席に座ってください。	まえのせきにすわってください。	Please sit in front seat.	position-front	前 + に	front/ahead	まえ	まえ	[sound:0160fa2360d8.mp3]	
後ろを見てください。	うしろをみてください。	Please look behind.	position-back	後ろ + を	rear/back	うしろ	うしろ	[sound:20fdbf3868d9.mp3]	
右手に何がありますか？	みぎてになにがありますか？	What is on the right hand?	position-right	右 + に	right side	みぎ	みぎ	[sound:72438156284e.mp3]	
