#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::01 - N5 Grammar::Recognition
#
静かな図書館です。	しずかなとしょかんです。	It is a quiet library.	attr-non-past	静か + な	attributive form	na-adj attributive	うるさい	[sound:20c9ccac2ddb.mp3]	
ここは静かです。	ここはしずかです。	This place is quiet.	pred-non-past	静か + です	predicate form	polite positive	うるさい	[sound:cdb58ba28999.mp3]	
静かじゃないです。	しずかじゃないです。	It is not quiet.	neg-contraction	な → じゃない	colloquial negative	じゃない form	うるさい	[sound:13c7179c7b9b.mp3]	
静かではないです。	しずかではないです。	It is not quiet (formal).	neg-formal	な → では + ない	formal negative	ではない form	うるさい	[sound:ed6ca878d154.mp3]	
静かでした。	しずかでした。	It was quiet.	past	な → で + ました	past tense	past quiet	うるさい	[sound:edc82b6addbb.mp3]	
静かではありませんでした。	しずかではありませんでした。	It was not quiet.	neg-past-formal	neg past formal	formal neg past	double past	うるさい	[sound:0d40ae637ae3.mp3]	
静かで落ち着いています。	しずかでおちついています。	It is quiet and calm.	te-form	な → で	te-form conjunction	na-adj te-form	うるさい	[sound:d0061439c502.mp3]	
静かに勉強します。	しずかにべんきょうします。	Study quietly.	adverbial	な → に	adverbial form	manner	うるさい	[sound:fff5d0b854c2.mp3]	
きれいなドレスです。	きれいなどれすです。	It is a pretty dress.	attr-na-lookalike	きれい + な	looks like い but is な	deceptive form	汚い	[sound:08f46f1c1a1f.mp3]	
その絵はきれいです。	そのえはきれいです。	That picture is pretty.	pred-na-lookalike	prettyな predicate	na-adj predicate	no い	汚い	[sound:d83fba13e573.mp3]	
きれいではありません。	きれいではありません。	It is not pretty (formal).	neg-formal-lookalike	formal na-adj neg	ではありません form	careful!	汚い	[sound:db970acf3c1a.mp3]	
有名な教授です。	ゆうめいなきょうじゅです。	He/She is a famous professor.	attr-non-past	有名 + な	famous attributive	occupations	無名	[sound:942ecf5e617e.mp3]	
その俳優は有名です。	そのはいゆうはゆうめいです。	That actor is famous.	pred-non-past	famous predicate	people/fame	celebrities	無名	[sound:4a3483704e3b.mp3]	
親切な先生です。	しんせつなせんせいです。	He/She is a kind teacher.	attr-non-past	親切 + な	kind attributive	people qualities	不親切	[sound:274b7cf45235.mp3]	
田中さんは親切です。	たなかさんはしんせつです。	Tanaka is kind.	pred-non-past	kindness predicate	personality	character	不親切	[sound:be501a24cbd7.mp3]	
親切にしてくれました。	しんせつにしてくれました。	He/She was kind to me.	adverbial	な → に	adverbial kindness	actions	不親切	[sound:c1c3c21a4508.mp3]	
便利な駅です。	べんりなえきです。	It is a convenient station.	attr-non-past	便利 + な	convenient attributive	places/transport	不便	[sound:0a723f2feb7a.mp3]	
このアプリは便利です。	このあぷりはべんりです。	This app is convenient.	pred-non-past	convenience predicate	tech/utilities	apps	不便	[sound:79dd81381841.mp3]	
簡単な問題です。	かんたんなもんだいです。	It is an easy problem.	attr-easy	簡単 + な	easy/simple attributive	difficulty	難しい	[sound:fa797dd92fb2.mp3]	
これは簡単です。	これはかんたんです。	This is simple.	pred-easy	easy predicate	difficulty statement	tasks	難しい	[sound:a76558741044.mp3]	
