#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::01 - N5 Grammar::Contrast
#
今日は立ったまま待っています。	Progressive: standing and waiting now	Habitual: always waits standing	Progressive	ている = current action state	Standing position while waiting	dab0ab48a8b2	
今食べています。	Progressive: eating right now	Resultative: currently full	Progressive	ている = action in progress at this moment	Progressive use: happening now	d1b802e590ad	
公園で友達が遊んでいます。	Progressive: playing at this moment	Habitual: plays regularly	Progressive	ている = action ongoing	Active motion or state	[sound:47a55ed58baa.mp3]	
彼は今勉強しています。	Progressive: studying at this moment	Habitual: studies every day	Progressive	ている = right now (point in time)	Current ongoing action	a8301d4a67ca	
目が開いています。	Resultative: eyes are open (state)	Progressive: opening eyes now	Resultative	ている = current visible state/result	State of completion	e4804d9acc92	
姉は去年から結婚しています。	Resultative: he is married (state)	Progressive: getting married now	Resultative	ている = permanent or semi-permanent state	Result of prior action	[sound:6786ffcfbc9f.mp3]	
私は日本語を勉強しています。	Resultative: I speak/study Japanese (ongoing state)	Progressive: studying right now	Resultative	ている = acquired skill or status	Developed state/ability	afaa4a025e77	
田中さんは会社で働いています。	Resultative: he works at a company (job)	Progressive: working at company now	Resultative	ている = employed/position	Current employment state	dde913bc2f54	
子どもが眠っています。	Resultative: child is asleep (state)	Progressive: falling asleep now	Resultative	ている = sleeping state	Result of sleep action	7d26f41faab9	
弟は毎朝公園を走っています。	Habitual: runs every day (routine)	Progressive: running right now	Habitual	ている = repeated/customary action	Regular habit	[sound:ed8da8a63de7.mp3]	
毎朝新聞を読んでいます。	Habitual: reads newspaper every morning	Progressive: reading now	Habitual	ている = daily practice/habit	Repeated pattern	1759ff5d519e	
彼は毎日図書館に行っています。	Habitual: goes to library every day	Progressive: going to library now	Habitual	ている = customary action	Regular practice	ed5daa0f9c06	
彼女は毎晩ドラマを見ています。	Habitual: watches TV every evening	Progressive: watching TV now	Habitual	ている = evening routine	Daily practice	[sound:53bfc35bb413.mp3]	
私は毎年京都に行っています。	Habitual: goes to Kyoto every year	Progressive: going to Kyoto now	Habitual	ている = annual pattern	Repeated yearly action	fef07a95b145	
玄関のドアが開いています。	Resultative: window is open (state)	Progressive: someone opening it now	Resultative	Static state from prior opening	Window position state	[sound:868495d4e9ee.mp3]	
外は雨が強く降っています。	Progressive: it is raining (now)	Habitual: rains often here	Progressive	ている = weather occurring	Current rain event	[sound:60cb16256457.mp3]	
彼は本を持っています。	Resultative: he owns a book (state)	Progressive: holding book now	Resultative	ている = possession	Ownership/possession state	4ed2775e171d	
田中さんは来ています。	Resultative: he has arrived (present)	Progressive: arriving right now	Resultative	ている = here/arrived state	Presence state	92cbfc8592bb	
私はこの会社で働いています。	Resultative: I work at this company	Progressive: working at company now	Resultative	ている = job/position	Employment state	87b44d2f6825	
毎週日曜日に映画を見ています。	Habitual: watches movies every Sunday	Progressive: watching movie now	Habitual	ている = weekly habit	Weekly routine	092f01d12846	
