#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::01 - N5 Grammar::Recognition
#
新しい本です。	あたらしいほんです。	It is a new book.	attr-non-past	新しい	plain attributive form	adjective	古い	[sound:e78cf90cabf6.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro frequency:top1k source:shin-kanzen
この本は新しいです。	このほんはあたらしいです。	This book is new.	pred-non-past	は + い + です	polite predicate non-past	with です	古い	[sound:1f09e2d50d6a.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro frequency:top1k source:shin-kanzen
新しくないです。	あたらしくないです。	It is not new.	neg-non-past	い → くない + です	negative non-past polite	ない form	古い	[sound:77d1ee693925.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro source:shin-kanzen
新しくありません。	あたらしくありません。	It is not new (formal).	neg-formal	い → く + ありません	formal negative	ありません	古い	[sound:3066cc754044.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro source:shin-kanzen
新しかったです。	あたらしかったです。	It was new.	past-polite	い → かった + です	past tense polite	-かった	古い	[sound:08e71a3ab43a.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro source:shin-kanzen
新しくなかったです。	あたらしくなかったです。	It was not new.	neg-past-polite	く + ない → かった	neg past polite	double neg	古い	[sound:1a5d96be05de.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro source:shin-kanzen
新しくて便利です。	あたらしくてべんりです。	It's new and convenient.	te-form	い → くて	te-form conjunction	te-form	古い	[sound:610e23239df2.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro frequency:top1k source:shin-kanzen
新しく改良しました。	あたらしくかいりょうしました。	Improved it to be new.	adverbial	い → く	adverbial form	modifies verb	古い	[sound:209272a97e39.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro frequency:low source:shin-kanzen
大きい犬です。	おおきいいぬです。	It is a big dog.	attr-non-past	大きい	attributive with dog	size	小さい	[sound:d4bc193c08d7.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro frequency:top1k source:shin-kanzen
この机は大きいです。	このつくえはおおきいです。	This desk is big.	pred-non-past	desk big	predicate	furniture	小さい	[sound:e7276ad6976e.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro frequency:top1k source:shin-kanzen
大きくないです。	おおきくないです。	It is not big.	neg-non-past	く + ない	negative form	size contrast	小さい	[sound:2538a0d26f0e.mp3]	module:01-n5 jlpt:n5 point:i-adjectives complexity:intro frequency:top10k source:shin-kanzen
